ID,PublicORResidential,city,principleActivity,ClimateZone,BuildingArea,numFloorAbove,numFloorBelow,WWR_South,WWR_North,WWR_East,WWR_West,ExWindowHTC,SC,RoofHTC,ExWallHTC,exWinAirtightness,HeatingLoad,CoolingLoad
53,1,xuzhou,7,2,3877,6,2,0.36,0.25,0.18,0.17,2.9,0.56,0.48,1.07,6,20.49,0
54,1,huaian,7,3,5102,11,1,0.32,0.24,0.07,0.06,3,0.86,0.68,0.61,6,24.38,33.69
55,0,xuzhou,2,2,2492,3,2,0.42,0.44,0.5,0.09,2.25,0.34,0.389,0.433,3,112.37,184.61
56,1,lianyungang,7,2,741,3,,0.11,0.11,0.1,0.05,2.9,0.84,0.286,0.484,7,23.64,29.85
57,0,suzhou,1,3,55675,6,,0.14,0.13,0.09,0.14,2.7,0.53,0.46,0.8,4,0.04,0
58,0,suzhou,1,3,87529,2,1,0.24,0.2,0.24,0.2,2.7,0.41,0.57,0.64,7,70.09,0
59,1,taizhou,7,3,2024,4,1,0.12,0.12,0.27,0.2,3.2,0.12,0.46,0.6,7,15.22,10.71
60,1,suzhou,7,3,647,4,6,0.06,0.27,0.29,0.06,2.8,0.44,0.48,0.55,6,34.94,53.79
61,0,yancheng,3,3,7263,9,3,0.22,0.08,0.5,0.44,2.3,0.5,0.52,0.35,1,81.31,91.28
62,1,taizhou,7,3,6247,6,,0.13,0.28,0.13,0.13,0,0.13,0.61,0.6,4,27.17,26.17
63,0,wuxi,1,3,24481,3,2,0.45,0.38,0.52,0.48,1.8,0.47,0.65,0.82,6,18.5,33.17
64,1,wuxi,7,3,2948,8,6,0.32,0.23,0.1,0.1,3,0.86,0.43,0.63,6,12.96,6.28
65,1,suzhou,7,3,1457,3,6,0.37,0.29,0.05,0.05,2.5,0.5,0.47,0.47,6,13.08,20.13
66,0,suzhou,1,3,8632,5,5,0.18,0.17,0.03,0.03,3.4,0.69,0.63,0.67,6,32.15,47.8
67,0,wuxi,1,3,6954,3,3,0.24,0.19,0.45,0.15,3.48,0.45,0.58,0.98,4,39.36,62.57
68,1,wuxi,7,3,4194,5,5,0.03,0.03,0.22,0.24,1.6,0.51,0.53,0.52,6,17.44,24.76
69,1,yangzhou,7,3,2875,5,5,0.01,0.11,0.07,0.14,2.9,0.84,0.662,0.99,4,15.87,11.73
70,0,suzhou,1,3,115120,4,1,0.21,0.13,0.17,0.16,3,0.3,0.57,0.88,6,125.08,3.45
71,1,0jing,7,3,3431,4,1,0.36,0.14,0.12,0.21,2.4,0.62,0.45,0.56,4,8.27,11.36
72,1,zhenjiang,7,3,2071,4,4,0.1,0.06,0.31,0.2,3.2,0.86,0.449,0.78,6,17.43,14.63
73,0,yancheng,3,3,25490,15,5,0.35,0.36,0.36,0.3,2.4,0.5,0.47,0.52,1,16.72,24.93
74,0,suzhou,6,3,19048,5,1,0.08,0.3,0.1,0.1,2.7,0.58,0.36,0.72,6,100.85,117.45
75,1,lianyungang,7,2,5573,7,6,0.02,0.39,0.02,0.36,2.6,0.5,0.563,0.473,6,47.3,29.21
76,0,changzhou,3,3,8605,5,5,0.3,0.27,0.3,0.37,2.04,0.62,0.52,0.75,6,60.64,85.52
77,0,0tong,3,3,6694,3,3,0.89,0.49,0.71,0.49,2.5,0.4,0.63,0.7,3,128.74,162.17
78,0,wuxi,3,3,63094,10,0,0.47,0.39,0.43,0.52,2.3,0.3,0.565,0.511,4,11.22,41.17
79,1,changzhou,7,3,19904,19,2,0.36,0.08,0.05,0.05,2.85,0.84,0.66,0.99,3,19.81,30.53
80,1,huaian,7,3,2624,6,6,0.03,0.06,0.34,0.29,3.4,0.84,0.55,1.02,4,24.52,39.16
81,1,changzhou,7,3,18386,29,6,0.41,0.25,0.08,0.07,1.89,0.83,0.53,0.83,3,12.18,35.9
82,1,suzhou,7,3,3420,5,1,0.35,0.22,0.13,0.13,2.1,0.26,0.51,0.68,6,12.4,18.67
83,1,suzhou,7,3,10940,20,2,0.08,0.57,0.08,0.24,2.7,0.47,0.66,0.52,3,13.92,13.92
84,1,huaian,7,3,21513,27,2,0.35,0.21,0.01,0.14,2.8,0.89,0.56,0.56,6,47.55,60.37
85,1,taizhou,7,3,7980,11,6,0.06,0.05,0.29,0.2,3.2,0.33,0.69,1.13,6,3.55,2.53
86,0,zhenjiang,3,3,29107,17,7,0.66,0.41,0.54,0.55,1.6,0.38,0.54,0.795,4,11.1,44.17
87,0,suzhou,1,3,3817,4,4,0.34,0.48,0.43,0.46,2.7,0.46,0.68,0.82,3,199.91,1.06
88,1,huaian,7,3,3320,6,6,0.29,0.28,0.08,0.06,2.8,0.77,0.74,1.12,4,24.06,37.39
89,1,lianyungang,7,2,5488,18,2,0.12,0.32,0.12,0.25,0,0.63,0.352,0.912,7,37.06,27.94
90,1,taizhou,7,3,5957,13,2,0.24,0.11,0.05,0.05,3,0.78,0.8,0.55,6,19.27,30.79
91,1,xuzhou,7,2,11683,32,2,0.23,0.45,0.07,0.07,2,0.5,0.39,0.34,6,13.49,24.57
92,1,taizhou,7,3,8767,6,6,0.12,0.12,0.23,0.25,2.5,0.89,0.84,0.79,6,5.59,9.87
93,0,wuxi,1,3,29025,31,1,0.33,0.25,0.21,0.21,2.7,0.31,0.562,0.623,6,28.65,41.82
94,1,suzhou,7,3,3339,6,1,0.06,0.06,0.35,0.25,1.7,0.47,0.57,0.62,7,6.41,6.41
97,0,suzhou,3,3,40906,20,1,0.19,0.24,0.31,0.29,3,0.46,0.56,0.46,3,86.58,115.66
98,0,huaian,3,3,32674,17,7,0.48,0.58,0.48,0.49,2.6,0.28,0.58,0.65,3,95.72,107.52
99,1,wuxi,7,3,26167,34,2,0.03,0.4,0.05,0.18,2,0.38,0.62,0.67,6,11.86,15.75
101,1,xuzhou,7,2,3821,4,1,0.24,0.17,0.13,0.13,2.1,0.62,0.32,0.4,6,22.11,9.27
102,0,0jing,4,3,34588,29,7,0.6,0.59,0.5,0.51,2.3,0.37,0.56,0.43,4,59.43,77.33
104,1,0jing,7,3,8768,11,1,0.07,0.25,0.07,0.33,2.8,0.7,0.672,0.998,6,16.92,13.76
105,1,xuzhou,7,2,4443,7,7,0.32,0.27,0.08,0.07,2.7,0.08,0.39,0.49,7,14.12,26.01
106,1,suzhou,7,3,6058,2,2,0.15,0.15,0.26,0.3,2.3,0.4,0.55,0.55,6,25.59,37.88
107,1,0jing,7,3,3683,6,6,0.04,0.04,0.35,0.28,2.79,0.87,0.6,1.38,4,55.98,40.9
108,1,suzhou,7,3,17323,24,1,0.33,0.23,0.11,0.09,1.8,0.62,0.59,0.45,4,30.5,48.41
109,1,lianyungang,7,2,3117,5,6,0.09,0.26,0.09,0.23,3,0.7,0.413,0.956,4,35.3,21.1
111,1,lianyungang,7,2,3224,5,6,0.37,0.24,0.03,0.03,0,0.38,0.465,0.883,4,30.44,29.41
112,1,suzhou,7,3,1423,3,6,0.3,0.26,0.24,0.12,2.4,0.4,0.477,0.445,6,15.1,14.37
114,0,xuzhou,2,2,29877,15,5,0.3,0.45,0.11,0.41,2.6,0.6,0.522,0.464,6,113.8,87.19
115,0,taizhou,6,3,9283,5,3,0.12,0.1,0.03,0.04,3.2,0.78,0.78,0.72,6,65.24,97.02
116,1,wuxi,7,3,5797,9,9,0.16,0.16,0.02,0.02,2,0.5,0.38,0.54,6,14.39,34.06
117,1,wuxi,7,3,7011,9,93,0.43,0.33,0.28,0.1,1.9,0.2,0.303,0.41,4,12.82,13.21
118,0,zhenjiang,1,3,25715,5,2,0.49,0.53,0.47,0.51,2.68,0.51,0.861,0.492,3,16.88,51.08
119,0,suzhou,1,3,5370,3,2,0.1,0.22,0.18,0.16,3.4,0.71,0.6,0.6,1,126.49,178.25
120,0,suzhou,3,3,48866,25,4,0.85,0.89,0.14,0.16,1.3,0.3,0.58,0.49,1,76.08,115.02
121,0,changzhou,3,3,38178,24,4,0.75,0.77,0.75,0.74,1.6,0.33,0.53,0.52,3,36.97,52.86
122,1,taizhou,7,3,2651,6,0,0.34,0.28,0.01,0.01,2.9,0.69,0.7,0.62,6,7.23,11.96
124,1,wuxi,7,3,3447,5,6,0.38,0.2,0,0,2,0.2,0.31,0.41,6,24.25,37.11
125,0,yancheng,7,3,28907,6,2,0.19,0.18,0.33,0.34,2.4,0.3,0.58,0.69,3,52.52,116.59
126,1,suzhou,7,3,3379,6,2,0.32,0.32,0.12,0.12,2.4,0.72,0.6,0.97,6,19.11,23.41
127,0,lianyungang,3,2,8700,12,6,0.26,0.47,0.06,0.19,2.5,0.5,0.877,1.01,4,67.45,67.56
128,0,xuzhou,3,2,28975,12,1,0.31,0.28,0.14,0.14,2.53,0.41,0.39,0.62,6,65.11,80.05
129,1,suzhou,7,3,8848,23,1,0.39,0.29,0.02,0.02,2.7,0.56,0.74,0.88,6,18.13,18.45
130,0,wuxi,3,3,44968,26,6,0.59,0.72,0.59,0.67,2.6,0.4,0.543,0.726,3,18.24,53.53
131,1,lianyungang,7,2,3227,6,6,0.12,0.23,0.12,0.11,2.86,0.55,0.466,0.641,7,38.28,18.85
132,1,0tong,7,3,3533,6,1,0.34,0.23,0.01,0.01,2.62,0.65,0.65,0.95,6,22.87,34.36
134,1,0jing,7,3,11236,21,1,0.21,0.22,0.02,0.02,2.4,0.3,0.47,0.68,6,22.42,40.08
135,1,suqian,7,3,4733,6,1,0.35,0.21,0.04,0.06,2.5,0.86,0.79,0.95,6,1.43,3.44
136,0,changzhou,3,3,3333,3,3,0.49,0.63,0.72,0.41,2.41,0.54,0.6,0.62,3,142.51,113.37
137,1,suqian,7,3,4216,7,1,0.1,0.18,0.02,0.02,3,0.86,0.94,0.87,4,7.06,6.31
138,0,yangzhou,3,3,102214,22,2,0.75,0.73,0.75,0.74,2.2,0.46,0.58,0.36,3,71.2,87.77
139,0,suzhou,3,3,46036,32,0,0.52,0.53,0.64,0.55,2.5,0.3,0.57,0.84,4,65.58,0
140,0,yangzhou,6,3,47312,24,5,0.51,0.57,0.36,0.58,2.4,0.31,0.591,0.467,3,14.86,44.18
141,0,wuxi,5,3,8589,5,5,0.3,0.27,0.3,0.15,2.6,0.5,0.591,0.671,7,26.53,54.96
142,1,suqian,7,3,2502,6,0,0.1,0.28,0.05,0.05,3,0.86,0.94,0.74,6,5.09,8
144,1,taizhou,7,3,5695,11,6,0.33,0.24,0,0,2.89,0.5,0.57,0.78,6,7.29,7.29
145,0,yancheng,3,3,13215,4,,0.12,0.12,0.19,0.03,2.95,0.64,0.68,0.72,1,66.68,107.46
146,0,wuxi,3,3,78792,8,8,0.22,0.53,0.16,0.34,2.6,0.25,0.655,1.03,3,0.7,36.41
147,0,suzhou,3,3,24536,12,3,0.2,0.17,0.5,0.22,2.32,0.4,0.67,0.69,5,66.25,80.39
148,0,wuxi,6,3,18812,5,5,0.12,0.13,0.07,0.17,1.7,0.4,0.573,0.674,6,19.82,48.01
149,1,wuxi,7,3,7284,15,1,0.51,0.36,0.03,0.51,3,0.4,0.47,0.61,6,14.99,13.79
150,0,0jing,3,3,69137,39,9,0.51,0.76,0.81,0.83,1.61,0.27,0.69,2.32,2,58.09,101.87
151,1,yancheng,7,3,10601,18,6,0.38,0.34,0.01,0.04,2.6,0.4,0.6,0.74,6,18.32,34.56
152,1,suzhou,7,3,16200,33,2,0.46,0.24,0.11,0.11,2.4,0.3,0.56,0.89,6,15.3,39.26
154,1,suzhou,7,3,1274,3,6,0.25,0.23,0.15,0.16,3.2,0.83,0.46,0.72,6,15.18,24.94
155,1,xuzhou,7,2,2423,6,0,0.43,0.32,0.24,0.26,2.5,0.86,0.41,0.77,4,40.33,3.75
156,0,yancheng,6,3,5610,4,3,0.47,0.26,0.3,0.16,2.5,0.49,0.48,0.74,6,86.73,103.4
158,1,zhenjiang,7,3,1374,6,6,0.35,0.32,0.03,0.03,2.4,0.8,0.389,0.672,6,15.71,11.32
159,0,0jing,7,3,18188,18,0,0.24,0.1,0.07,0.11,2.6,0.5,0.612,0.898,6,19.47,49.34
160,1,xuzhou,7,2,11871,18,3,0.34,0.28,0.08,0.08,2.3,0.4,0.41,0.44,6,12.02,39
161,1,changzhou,7,3,15022,18,2,0.44,0.24,0.16,0.16,2.8,0.54,0.61,0.96,6,32.72,54.97
162,0,taizhou,3,3,13574,11,1,0.5,0.43,0.42,0.34,2.4,0.2,0.7,0.51,6,41.93,52.74
164,1,0jing,7,3,14588,34,1,0.3,0.09,0.08,0.08,2.7,0.5,0.6,0.79,6,18.66,7.79
165,1,suqian,7,3,3650,5,1,0.33,0.23,0.06,0.06,3,0.86,0.7,1.61,6,3.19,4.89
166,0,zhenjiang,3,3,5561,3,0,0.22,0.17,0.31,0.14,2.4,0.33,0.49,0.89,3,82.4,87.1
167,0,0jing,3,3,41100,22,2,0.61,0.15,0.54,0.23,1.69,0.11,0.39,0.34,3,94.84,160.16
168,1,suqian,7,3,4883,12,1,0.33,0.28,0.07,0.07,2.5,0.86,1.08,1.52,6,2.35,4.56
169,1,lianyungang,7,2,3651,6,6,0.36,0.31,0.02,0.02,2.8,0.65,0.626,1.02,6,36.98,26.78
