ID,PublicORResidential,city,principleActivity,ClimateZone,BuildingArea,numFloorAbove,numFloorBelow,WWR_South,WWR_North,WWR_East,WWR_West,ExWindowHTC,SC,RoofHTC,ExWallHTC,exWinAirtightness,HeatingLoad,CoolingLoad
246,1,suzhou,7,3,3511,6,1,0.4,0.27,0.11,0.15,2.35,0.72,0.71,0.47,6,17.62,20.64
247,1,suzhou,7,3,771,3,1,0.23,0.27,0.03,0.03,2.1,0.62,0.44,0.74,6,15.05,22.72
248,1,huaian,7,2,7563,11,2,0.26,0.23,0.05,0.05,2.5,0.86,0.35,0.47,6,40.74,7.73
249,1,suzhou,7,3,732,3,6,0.24,0.22,0.14,0.14,3.2,0.83,0.47,0.69,5,18.29,29.14
250,0,yancheng,3,3,2909,2,1,0.45,0.25,0.13,0.35,1.7,0.54,0.47,0.63,6,51.8,59.98
251,1,huaian,7,3,24162,28,6,0.34,0.17,0.11,0.11,2.65,0.83,0.5,0.95,6,25.94,47.8
252,0,huaian,3,3,15553,10,1,0.44,0.4,0.34,0.32,3,0.33,0.43,0.39,3,94.99,111.01
253,0,changzhou,3,3,6803,4,1,0.48,0.23,0.19,0.18,3.2,0.63,0.46,0.98,6,71.51,98.72
254,0,wuxi,3,3,98033,57,5,0.88,0.88,0.88,0.88,2.4,0.34,0.62,0.92,4,23.65,54.01
255,0,suzhou,3,3,28727,15,3,0.48,0.48,0.45,0.47,2.5,0.3,0.72,0.46,3,59.93,0
256,0,wuxi,3,3,25746,18,9,0.76,0.76,0.72,0.72,1.7,0.31,0.481,0.496,3,15.21,48.75
257,0,changzhou,6,3,1700,4,2,0.29,0.33,0,0,2.8,0.5,0.71,0.9,6,32.3,47.05
258,0,wuxi,1,3,36000,3,3,0.88,0.93,0.88,0.86,1.7,0.63,0.45,0.6,3,26.8,53.02
259,0,zhenjiang,3,3,25890,4,3,0.15,0.21,0.4,0.23,1.74,0.34,0.42,0.41,4,51.24,45.29
260,0,suzhou,3,3,102868,18,2,0.8,0.8,0.73,0.75,2.3,0.33,0.41,0.58,3,78.83,110.4
261,1,wuxi,7,3,275,2,2,0.28,0.28,0.01,0.03,3.4,0.69,0.672,0.733,4,20.72,15.88
262,0,suzhou,3,3,10658,3,1,0.33,0.24,0.16,0.19,3.9,0.71,0.68,0.82,6,128.06,105.66
263,1,lianyungang,7,2,9088,11,2,0.22,0.34,0.04,0.04,3,0.84,0.35,0.85,6,41.73,9
264,0,yangzhou,3,3,16208,6,6,0.35,0.23,0.11,0.12,1.9,0.39,0.32,0.37,6,71.25,79.64
265,0,yangzhou,3,3,20273,12,0,0.41,0.37,0.25,0.15,2.7,0.3,0.642,0.516,6,11.62,39.63
266,1,lianyungang,7,2,6976,18,8,0.47,0.32,0.09,0.1,2.4,0.65,0.45,0.62,6,23.63,23.6
267,1,huaian,7,3,5133,5,5,0.28,0.26,0.09,0.09,3,0.7,0.68,0.88,4,25.8,39.77
268,0,wuxi,3,3,16975,8,1,0.75,0.72,0.75,0.74,2.4,0.38,0.3,0.4,3,118.65,139.52
269,0,xuzhou,3,2,252865,17,2,0.31,0.49,0.46,0.49,1.32,0.31,0.37,0.37,3,104.94,153.52
270,0,changzhou,1,3,2979,2,2,0.44,0.47,0.27,0.37,2.7,0.5,0.55,1.09,6,96.68,120.04
271,1,xuzhou,7,2,14675,26,2,0.31,0.18,0.11,0.27,2.6,0.83,0.63,0.75,6,16.8,32.88
272,1,lianyungang,7,2,4494,6,6,0.28,0.21,0.05,0.05,3,0.38,0.486,0.904,4,36.78,22.79
273,0,wuxi,1,3,20326,6,6,0.56,0.38,0.27,0.32,2.4,0.3,0.498,0.443,6,17.7,39.08
274,0,yancheng,3,3,2716,3,4,0.16,0.34,0.13,0.01,2.6,0.43,0.46,0.73,6,96.55,108.85
275,1,suzhou,7,3,35108,33,2,0.36,0.13,0.06,0.06,2.6,0.4,0.81,0.78,6,23.54,34.26
276,1,0tong,7,3,2264,5,0,0.11,0.29,0.11,0.11,3.2,0.35,0.6,1.1,6,23.91,35.09
277,0,yangzhou,3,3,40070,29,4,0.61,0.35,0.48,0.48,2.07,0.24,0.55,0.49,3,31.6,53.53
278,1,lianyungang,7,2,3231,5,6,0.3,0.29,0.03,0.03,3,0.65,0.406,1.2,7,37.71,24.69
279,0,0tong,1,3,5132,6,0,0.42,0.4,0.08,0.08,3.26,0.49,0.659,0.695,4,64.38,50.88
280,1,lianyungang,7,2,1367,5,6,0.37,0.23,0.02,0.02,2.9,0.5,0.411,0.691,6,24.79,38.69
281,1,suzhou,7,3,588,3,6,0.52,0.41,0.33,0.29,2.7,1,0.47,0.49,6,40.41,72.39
282,1,0tong,7,3,6676,11,0,0.35,0.3,0.12,0.12,3,0.33,0.75,0.96,6,22.63,34.42
283,1,huaian,7,3,5026,11,2,0.3,0.23,0.16,0.22,2.7,0.89,0.55,1.6,6,26.62,38.55
284,0,0jing,3,3,51588,15,2,0.29,0.29,0.4,0.39,1.6,0.3,0.61,0.7,6,128.89,160.39
285,0,yangzhou,3,3,27889,5,0,0.25,0.23,0.07,0.15,2.49,0.41,0.502,0.814,6,17,48.33
286,0,xuzhou,2,2,43707,16,1,0.6,0.62,0.49,0.52,1.8,0.61,0.478,0.473,3,98.38,155.58
287,0,0jing,8,3,21668,3,4,0.5,0.38,0.37,0.42,2.3,0.45,0.52,0.85,6,60.14,51.65
288,0,huaian,3,3,18114,3,1,0.07,0.09,0.09,0.09,2.3,0.32,0.38,0.53,3,38.61,34.21
289,1,huaian,7,3,5189,6,6,0.37,0.22,0.09,0.09,2.7,0.83,0.5,1.06,4,22.47,38.12
290,1,suzhou,7,3,3005,6,6,0.39,0.28,0.15,0.17,2.4,0.65,0.47,0.6,6,35.61,36.96
291,1,wuxi,7,3,1572,5,6,0.29,0.22,0.1,0.29,2.8,0.61,0.702,0.883,4,17.22,14.19
292,0,suzhou,3,3,15291,5,6,0.29,0.35,0.34,0.17,2.7,0.46,0.68,0.82,3,59.02,68.23
293,1,yangzhou,7,3,1995,4,5,0.41,0.3,0.05,0.06,2,0.77,0.474,0.635,6,16.21,19.32
294,1,lianyungang,7,2,7780,11,1,0.42,0.23,0.01,0.01,2.4,0.69,0.4,0.7,6,22.45,28.12
295,0,suzhou,3,3,37345,11,1,0.09,0.08,0.05,0.08,1.7,0.6,0.4,0.78,3,76.16,127.88
296,1,taizhou,7,3,6461,17,7,0.31,0.2,0.13,0.13,3.5,0.56,0.591,1.92,6,24.25,9.75
297,0,wuxi,3,3,126691,23,7,0.73,0.73,0.7,0.68,1.8,0.32,0.452,0.727,6,6.85,4.91
298,0,wuxi,3,3,9730,5,5,0.47,0.3,0.08,0.05,3.2,0.62,0.58,0.58,2,20.69,57.3
299,1,0tong,7,3,4830,6,0,0.45,0.25,0.08,0.08,3.2,0.5,0.77,0.96,4,23.14,35.04
300,1,lianyungang,7,2,6061,6,6,0.32,0.24,0.02,0.02,2.8,0.14,0.412,0.932,6,42.89,26.54
301,1,huaian,7,3,4675,6,6,0.41,0.25,0.14,0.15,2.3,0.81,0.602,1.25,4,28.7,44.64
302,0,suzhou,4,3,159081,7,2,0.82,0.26,0.26,0.46,1.8,0.32,0.55,0.43,4,37.72,67.89
303,0,suzhou,3,3,11312,3,1,0.32,0.38,0.25,0.22,2.8,0.66,0.49,0.6,1,95.82,110.08
304,0,0jing,1,3,8416,3,3,0.38,0.39,0.39,0.42,2.6,0.3,0.42,0.76,6,84.22,149.53
305,1,taizhou,7,3,4420,7,6,0.33,0.27,0.03,0.03,2.86,0.84,0.601,1.27,4,17.82,14.33
306,1,suzhou,7,3,8132,11,6,0.38,0.28,0.02,0.02,3.2,0.83,0.73,0.87,6,37.2,58.58
307,0,0jing,1,3,35817,5,5,0.28,0.13,0.26,0.18,2.8,0.59,0.6,0.73,6,107.46,153.53
308,0,xuzhou,3,2,24145,5,2,0.54,0.46,0.69,0.63,1.7,0.38,0.55,0.36,3,37.27,75.93
309,0,0tong,3,3,32090,10,2,0.53,0.47,0.39,0.37,2.6,0.302,0.61,0.87,3,80.25,123.67
310,0,suzhou,3,3,97669,27,3,0.38,0.26,0.26,0.28,2.6,0.49,0.51,0.55,3,113.24,132.64
311,1,lianyungang,7,2,4563,6,2,0.32,0.2,0.09,0.09,2.07,0.56,0.42,0.78,6,48.03,8.74
312,0,0jing,3,3,172902,58,3,0.24,0.37,0.35,0.34,3,0.3,0.73,0.66,4,7.26,7.26
313,1,huaian,7,3,3030,11,1,0.22,0.33,0.13,0.13,3,0.89,0.76,0.85,6,14.33,11.08
314,1,lianyungang,7,2,7021,10,1,0.16,0.12,0.07,0.07,3,0.89,0.35,0.48,6,21.93,8.21
315,1,suqian,7,3,1780,6,1,0.35,0.24,0.07,0.07,2.5,0.86,0.78,0.95,6,2.02,8.63
316,1,xuzhou,7,2,1841,3,2,0.27,0.27,0.11,0.11,2.6,0.6,0.44,0.55,6,10.93,21.02
317,1,0tong,7,3,5751,6,0,0.45,0.24,0.08,0.08,3.6,0.6,0.64,1.14,4,24.22,35.34
318,0,0tong,6,3,7456,4,3,0.2,0.22,0.1,0.07,5.68,0.89,0.68,0.63,3,111.38,125.93
319,0,changzhou,3,3,9744,5,1,0.24,0.36,0.28,0.34,2.6,0.4,0.39,0.47,6,75.33,53.57
320,1,xuzhou,7,2,5014,18,8,0.33,0.23,0.03,0.03,2.1,0.68,0.61,0.59,6,13.24,21.71
321,1,suzhou,7,3,5848,8,6,0.36,0.25,0.02,0.02,3.2,0.83,0.69,0.646,6,23.56,36.43
322,0,zhenjiang,3,3,33984,12,2,0.59,0.22,0.29,0.28,3,0.48,0.32,0.49,3,56.11,60.64
323,1,taizhou,7,3,1512,5,1,0.34,0.15,0,0,2.4,0.33,0.46,0.57,6,20.61,13.87
324,0,wuxi,2,3,23689,4,1,0.38,0.29,0.21,0.22,2.6,0.5,0.7,0.79,6,25.85,48.51
325,1,xuzhou,7,2,4876,11,1,0.27,0.15,0.06,0.06,2.6,0.5,0.5,0.65,6,19.21,14.62
326,0,suzhou,3,3,115533,22,3,0.67,0.62,0.47,0.49,2.3,0.37,0.6,0.33,6,207.89,94.99
327,1,taizhou,7,3,2724,7,6,0.31,0.26,0.04,0.04,2.95,0.29,0.491,0.806,4,31.95,27.98
328,1,suzhou,7,3,3315,11,1,0.34,0.25,0.04,0.03,3.2,0.81,0.57,0.62,7,7.61,7.61
329,1,lianyungang,7,2,3316,5,6,0.13,0.18,0.06,0.06,2.5,0.57,0.336,0.48,6,17.62,10.97
330,1,0tong,7,3,2629,6,0,0.45,0.23,0.07,0.07,3.6,0.6,0.75,0.96,4,22.31,33.05
331,1,xuzhou,7,2,7508,7,7,0.2,0.12,0.03,0.03,1.9,0.3,0.31,0.47,6,7.25,17.65
332,0,xuzhou,3,2,19936,18,1,0.23,0.27,0.06,0.05,2.6,0.64,0.49,0.44,6,107.58,121.63
333,0,0jing,3,3,61260,27,8,0.63,0.58,0.7,0.63,2.3,0.27,0.6,0.54,3,99.59,115.56
334,1,lianyungang,7,2,12409,11,2,0.26,0.14,0.1,0.18,2.7,0.83,0.07,0.1,6,57.45,13.88
335,0,xuzhou,3,2,21354,24,2,0.39,0.38,0.1,0.1,2.9,0.84,0.57,0.56,6,40.7,73.84
336,0,changzhou,3,3,12018,18,8,0.75,0.16,0.4,0.38,1.5,0.37,0.58,0.77,3,28.46,48.74
337,1,taizhou,7,3,9480,18,8,0.16,0.17,0.03,0.03,3.3,0.6,1.23,0.82,6,7.14,6.23
338,1,0tong,7,3,6974,11,0,0.37,0.29,0.14,0.14,3,0.33,0.75,0.96,6,22.28,33.51
339,1,taizhou,7,3,2657,7,6,0.3,0.23,0,0,3,0.74,0.6,1.13,6,7.05,11.5
340,1,wuxi,7,3,4507,5,5,0.4,0.27,0.05,0.05,2.7,0.65,0.673,0.91,4,16.12,14.13
341,1,taizhou,7,3,1754,7,7,0.43,0.28,0.06,0.06,2.2,0.23,0.5,0.413,6,19.34,11.81
342,1,suzhou,7,3,11268,25,1,0,0,0.28,0.18,2.4,0.33,0.68,0.81,6,21.78,35.14
343,0,suzhou,1,3,19408,5,1,0.2,0.08,0.21,0.14,2.7,0.46,0.48,0.62,1,38.9,70.95
344,0,taizhou,3,3,5009,2,2,0.44,0.3,0.87,0.87,3.9,0.72,0.538,1.17,3,50.24,68.69
345,1,taizhou,7,3,2381,5,6,0.37,0.23,0.03,0.03,2.4,0.62,0.54,0.49,6,9.24,12.51
346,0,wuxi,3,3,64796,23,3,0.46,0.48,0.6,0.53,2.5,0.1,0.48,0.49,1,3.29,3.29
347,1,suzhou,7,3,1241,3,1,0.4,0.28,0.16,0.15,2.6,0.81,0.49,0.91,6,19.52,21.69
348,0,taizhou,7,3,41258,6,2,0.51,0.4,0.49,0.47,2.4,0.19,0.35,0.63,3,56.8,0
349,1,0jing,7,3,13401,33,0,0.35,0.25,0.04,0.03,2.7,0.31,0.58,0.96,6,15.73,2.22
351,0,wuxi,3,3,70167,25,5,0.55,0.58,0.73,0.76,2.6,0.38,0.493,0.532,3,21.28,52.13
352,1,huaian,7,3,4908,6,6,0.3,0.19,0.28,0.28,2.76,0.77,0.57,0.99,6,17.56,29.52
353,0,0jing,3,3,12076,6,1,0.52,0.48,0.29,0.25,2.4,0.3,0.57,0.61,4,23.18,51.98
354,1,taizhou,7,3,4889,20,6,0.28,0.26,0.1,0.1,5.8,0.89,1.03,0.47,6,26.42,41.25
355,0,wuxi,3,3,20983,12,2,0.4,0.24,0.26,0.19,2.4,0.62,0.62,0.89,6,25.93,36.81
356,0,wuxi,7,3,5124,4,4,0.46,0.55,0.35,0.13,2.3,0.28,0.57,0.79,4,31.08,66.12
357,1,suzhou,7,3,12633,33,2,0.38,0.11,0.1,0.1,2.6,0.4,0.47,1.34,6,19.92,20.53
358,0,0jing,3,3,3298,3,8,0.32,0.24,0.17,0.23,2.5,0.42,0.606,0.533,6,34.87,55.22
359,1,suzhou,7,3,7397,11,2,0.32,0.19,0.01,0.01,2.2,0.26,0.59,0.99,4,18.36,25.94
360,0,wuxi,3,3,245423,28,8,0.58,0.74,0.59,0.57,2.3,0.33,0.497,0.454,4,13.04,33.22
361,0,0jing,3,3,23588,5,4,0.62,0.44,0.53,0.39,1.6,0.28,0.386,0.402,4,22.72,40.42
362,1,wuxi,7,3,711,2,2,0.32,0.15,0,0,2.18,0.78,0.2,0.37,6,22.08,44.88
363,1,taizhou,7,3,2434,7,2,0.35,0.21,0.15,0.15,3,0.78,0.66,1.24,4,24.39,38
364,1,0tong,7,3,12275,18,0,0.45,0.25,0.06,0.06,2.62,0.62,0.59,0.625,6,20.21,30.13
365,1,0jing,7,3,12596,17,1,0.04,0.04,0.16,0.14,2.5,0.86,0.763,0.767,6,13.84,16.17
366,0,yangzhou,3,3,17869,12,1,0.57,0.5,0.38,0.36,2.71,0.24,0.64,0.75,6,122.78,131.48
367,0,suzhou,3,3,3137,3,1,0.34,0.23,0.18,0.15,3.2,0.5,0.54,0.74,6,42.52,50.06
368,1,suzhou,7,3,933,3,1,0.35,0.22,0.02,0.03,3.2,0.84,0.47,0.72,7,2.75,2.75
369,1,taizhou,7,3,2820,7,2,0.35,0.16,0.14,0.14,3,0.78,0.66,1.24,4,19.37,31
370,0,zhenjiang,1,3,133927,7,3,0.43,0.06,0.43,0.22,1.64,0.37,0.47,0.49,3,52.78,115
371,0,xuzhou,3,2,22017,5,2,0.33,0.4,0.35,0.34,2.3,0.39,0.39,0.39,7,68.13,79.48
372,1,suzhou,7,3,1661,6,6,0.1,0.1,0.1,0.1,1.8,0.47,0.556,0.55,4,36.52,43.25
373,0,wuxi,1,3,25312,18,8,0.4,0.19,0.3,0.32,2.32,0.38,0.524,0.581,6,22.61,48.58
374,0,taizhou,3,3,23261,5,5,0.43,0.35,0.72,0.19,2.2,0.13,0.48,0.55,3,97.56,107.06
375,1,yancheng,7,3,14076,14,6,0.36,0.16,0.05,0.06,2.8,0.84,0.41,0.85,6,29.33,47.1
376,0,suzhou,2,3,114914,10,2,0.21,0.33,0.38,0.29,3,0.5,0.65,0.79,4,64.62,164.23
377,1,suzhou,7,3,4165,7,3,0.18,0.13,0.06,0.05,3,0.84,0.28,0.65,6,14.13,22.9
378,1,xuzhou,7,2,13080,19,1,0.15,0.24,0.04,0.04,2.4,0.5,0.39,0.432,6,11.41,24.23
379,1,lianyungang,7,2,6428,5,6,0.4,0.24,0.05,0.4,3,0.65,0.385,0.861,4,28.34,23.84
380,1,taizhou,7,3,2941,6,0,0.41,0.24,0.07,0.07,2.9,0.79,0.7,0.7,6,8.21,10.42
381,0,wuxi,3,3,7769,8,8,0.46,0.4,0.12,0.2,2.7,0.5,0.69,0.7,6,33.22,60.85
382,1,zhenjiang,7,2,9756,11,0,0.38,0.36,0.07,0.07,2.4,1,0.36,0.51,6,25.35,42.12
383,0,yancheng,3,3,33335,12,3,0.36,0.3,0.19,0.21,1.8,0.48,0.6,0.47,3,96.12,120.1
384,1,0tong,7,3,3500,5,0,0.43,0.29,0.05,0.05,3.6,0.05,0.73,0.96,4,23.26,34.51
385,1,suzhou,7,3,610,2,2,0.15,0.12,0.14,0.14,2.6,0.57,0.47,0.56,5,30.35,42.64
386,1,wuxi,7,3,4048,6,1,0,0.22,0.24,0.08,2.4,0.5,0.39,0.83,7,16.93,41.63
387,0,taizhou,3,3,11953,3,1,0.15,0.22,0.48,0.28,3.3,0.79,0.595,0.702,6,23.37,49.48
388,0,suzhou,3,3,51745,24,4,0.59,0.54,0.45,0.36,1.7,0.4,0.46,1.11,6,13.57,0
389,1,zhenjiang,7,3,936,4,2,0.27,0.18,0.09,0.06,3,0.77,0.32,0.65,6,26.76,41.31
390,0,xuzhou,3,2,30427,5,1,0.45,0.5,0.5,0.51,1.9,0.5,0.54,0.277,3,16.92,69.26
391,1,suzhou,7,3,3595,5,5,0.36,0.2,0.12,0.12,3.2,0.7,0.5,1.15,7,13.34,7.74
392,0,wuxi,1,3,57984,28,8,0.47,0.44,0.41,0.46,2.6,0.31,0.689,0.679,3,15.47,48.22
393,0,changzhou,1,3,13454,5,1,0.4,0.25,0.18,0.25,3.4,0.6,0.7,1.09,6,68.21,81.49
394,1,zhenjiang,7,3,10170,32,2,0.42,0.28,0.1,0.03,3.1,0.59,0.689,1.25,6,17.82,12.69
395,1,suzhou,7,3,753,3,6,0.3,0.12,0.08,0.08,2.4,0.42,0.45,0.65,7,14.98,22.9
396,1,wuxi,7,3,1004,3,6,0.21,0.16,0.09,0.1,2.7,0.78,0.37,0.34,6,15.43,31.08
397,0,changzhou,3,3,5776,3,3,0.27,0.27,0.14,0.23,2.35,0.61,0.65,0.79,6,52.48,48.23
398,1,huaian,7,3,18233,19,1,0.46,0.29,0.16,0.16,3,0.83,0.79,0.75,6,30.21,46.03
399,1,yangzhou,7,3,4780,8,8,0.37,0.3,0.02,0.01,3.2,0.81,0.52,0.54,6,7.45,15.45
400,1,huaian,7,3,4580,6,6,0.35,0.21,0.01,0.01,3,0.83,0.62,0.64,4,26.65,44.08
401,1,0jing,7,3,2466,6,6,0.35,0.2,0.04,0.04,2.8,0.81,0.92,1.12,6,32.9,15.94
402,0,suzhou,4,3,29023,28,2,0.25,0.11,0.01,0.02,3.3,0.84,0.68,0.9,6,3.1,3.11
403,1,taizhou,7,3,8940,26,6,0.32,0.27,0.08,0.12,1.93,0.51,0.599,1.12,6,17.52,12.81
404,0,suzhou,3,3,2977,3,0,0.5,0.36,0.07,0.22,2.3,0.62,0.61,0.63,6,82.94,100.8
405,1,changzhou,4,3,27181,32,2,0.27,0.22,0.06,0.06,2.8,0.5,0.61,0.7,7,25.22,40.23
406,1,suzhou,7,3,575,2,6,0.34,0.26,0.02,0.1,3.5,0.84,0.47,0.8,7,26.33,0
407,1,suzhou,7,3,1209,3,6,0.33,0.18,0.11,0.12,3,0.75,0.46,0.66,7,18.8,18.8
408,0,suzhou,3,3,15316,5,6,0.35,0.26,0.34,0.26,2.7,0.46,0.68,0.82,3,82.9,96.28
409,1,0jing,7,3,5179,10,0,0.42,0.26,0.11,0.12,3.3,0.86,0.62,0.74,6,33.23,54.11
410,1,zhenjiang,7,3,1370,4,1,0.25,0.22,0.08,0.08,2,0.6,0.35,0.414,6,13.34,10.57
411,0,suzhou,3,3,49819,5,2,0.39,0.35,0.21,0.41,3.41,0.45,0.53,0.67,4,95.71,117.45
412,1,wuxi,7,3,6147,19,1,0.38,0.28,0.03,0.03,2.2,0.33,0.6,0.75,6,10.47,6.66
413,0,0jing,1,3,852,2,2,0.06,0.11,0.1,0.11,2.4,0.4,0.5,0.66,6,41.93,47.88
414,0,lianyungang,3,2,13421,2,2,0.37,0.51,0.19,0.6,2.4,0.75,0.529,0.453,4,64.98,70.79
415,0,xuzhou,3,2,29143,29,9,0.79,0.79,0.79,0.79,1.9,0.37,0.39,0.47,3,50.14,56.15
416,1,wuxi,7,3,17417,18,8,0.48,0.38,0.01,0.01,2.4,0.62,0.61,0.58,4,16.13,25.01
417,1,huaian,7,3,8153,20,2,0.3,0.19,0.1,0.1,2.4,0.33,0.49,0.72,6,17.39,28.58
418,1,huaian,7,3,5849,11,1,0.17,0.3,0.17,0.17,2.9,0.61,0.64,0.75,6,13.69,17.53
419,1,yancheng,7,3,6151,11,1,0.44,0.25,0.05,0.05,2.4,0.3,0.63,1.01,6,15.73,38.47
420,1,lianyungang,7,2,1966,6,6,0.31,0.32,0.02,0.02,2.5,0.86,0.409,0.817,5,42.68,31.16
421,1,suqian,7,3,3406,8,6,0.33,0.25,0.18,0.19,2.5,0.5,0.56,0.73,6,20.61,35.63
422,1,taizhou,7,3,7811,13,6,0.43,0.26,0.04,0.04,2.9,0.82,0.55,1,6,3.44,4.34
423,1,changzhou,7,3,15531,33,6,0.32,0.28,0.12,0.1,2,0.6,0.51,0.62,6,15.41,26.03
424,0,suzhou,3,3,34373,21,1,0.68,0.69,0.64,0.63,1.5,0.35,0.56,0.47,2,71.04,120.32
425,0,0jing,3,3,42229,23,3,0.66,0.7,0.38,0.55,2.5,0.35,0.695,0.839,3,19.49,61.52
426,0,wuxi,3,3,30120,4,2,0.09,0.28,0.19,0.28,2.6,0.84,0.65,0.96,4,50.97,112.19
427,0,taizhou,1,3,1715,3,3,0.24,0.23,0.29,0.2,3.2,0.89,0.652,0.424,6,30.52,64.27
428,1,suqian,7,3,4474,11,0,0.18,0.22,0.01,0.01,3.9,0.84,0.66,0.69,6,6.01,8.9
429,1,huaian,7,3,3268,6,6,0.15,0.25,0.04,0.04,3,0.84,0.55,1.1,6,9.52,11.64
430,0,0jing,3,3,2234,3,0,0.35,0.41,0,0.03,2.6,0.69,0.619,0.762,6,32.09,65.61
431,0,changzhou,3,3,14195,6,5,0.32,0.15,0.3,0.32,1.9,0.48,0.64,0.64,3,31.88,34.85
432,1,wuxi,7,3,18752,29,9,0.38,0.3,0.06,0.06,2.9,0.4,0.51,0.94,7,13.91,16.69
433,1,suzhou,7,3,388,3,6,0.25,0.27,0.15,0,3.2,0.84,0.43,0.63,4,1.48,1.48
434,0,yangzhou,3,3,10772,6,2,0.38,0.47,0.45,0.36,2.6,0.5,0.681,0.594,6,87.67,97.83
435,0,0jing,5,3,15000,19,0,0.22,0.21,0.29,0.3,1.9,0.5,0.574,0.906,6,15.44,80.48
436,0,xuzhou,3,2,23152,5,1,0.16,0.25,0.19,0.19,2.4,0.84,0.451,0.477,6,39.13,56.52
438,1,xuzhou,7,2,3338,6,6,0.31,0.25,0.05,0.05,2.48,0.55,0.34,0.3,7,12.76,29.79
439,1,zhenjiang,7,3,5655,8,8,0.47,0.33,0.19,0.19,2.4,0.19,0.522,0.594,6,14.34,10.53
440,0,changzhou,3,3,8605,5,5,0.3,0.27,0.29,0.37,2.04,0.62,0.52,0.75,6,60.64,85.52
441,1,changzhou,7,3,15114,28,6,0.33,0.12,0.1,0.1,2.96,0.8,0.72,0.86,6,22.97,42.62
442,0,0tong,3,3,24781,4,1,0.81,0.75,0.52,0.38,2.3,0.38,0.52,0.87,3,101.24,128.63
443,0,yangzhou,3,3,95833,23,3,0.77,0.79,0.92,0.7,2.2,0.44,0.56,0.56,4,65.46,75.81
444,1,yangzhou,7,3,3198,5,2,0.3,0.27,0.14,0.14,3,0.81,0.51,0.78,4,28.14,40.34
445,1,taizhou,7,3,508,3,3,0.12,0.13,0.1,0.19,2.2,0.72,0.372,0.508,6,15.81,9.45
446,1,suzhou,4,3,18026,17,2,0.38,0.32,0.05,0.05,2.6,0.81,0.67,0.89,6,28.54,45.39
447,0,yancheng,3,3,62033,35,5,0.84,0.84,0.84,0.84,2.3,0.29,0.48,0.48,3,72.22,112.73
448,0,xuzhou,5,2,150957,16,2,0.44,0.48,0.43,0.46,1.82,0.3,0.377,0.434,3,86.12,96.72
449,1,0jing,7,3,12407,28,1,0.25,0.11,0.09,0.08,2.8,0.51,0.72,0.69,6,17.59,8.92
450,1,wuxi,7,3,31690,35,1,0.3,0.25,0.2,0.2,2.8,0.83,0.53,0.74,6,24.08,45.68
451,0,0tong,5,3,38508,16,2,0.33,0.28,0.39,0.37,1.9,0.6,0.82,0.44,3,79.31,121.43
452,1,wuxi,7,3,586,3,1,0.19,0.08,0.05,0.06,3,0.75,0.6,0.56,4,15.54,14.05
454,0,huaian,3,3,115581,14,4,0.49,0.24,0.38,0.34,2.9,0.32,0.65,0.65,3,19.92,46.24
455,0,wuxi,3,3,68603,29,8,0.51,0.44,0.41,0.41,3,0.34,0.545,0.942,2,22.48,81.19
456,1,zhenjiang,7,3,2002,4,1,0.28,0.25,0.07,0.07,2,0.64,0.402,0.425,6,13.26,10.62
457,1,suzhou,7,3,4109,11,1,0.43,0.26,0.1,0.1,2.4,0.38,0.48,1.34,6,19.94,21.97
458,1,suzhou,7,3,1765,3,3,0.23,0.16,0.04,0.04,2.7,0.87,0.46,0.52,6,24.77,40.46
459,1,huaian,7,3,4632,6,6,0.29,0.16,0.11,0.11,3,0.81,0.61,0.66,4,15.81,23.77
460,1,taizhou,7,3,2941,6,6,0.34,0.22,0.07,0.07,3,0.81,0.61,0.95,6,30.02,48.04
461,1,zhenjiang,7,3,960,4,1,0.27,0.16,0,0,2.7,0.38,0.487,0.791,4,20.54,16.3
462,1,suzhou,7,3,4439,7,1,0.35,0.24,0.01,0.01,2.4,0.87,0.62,0.99,6,16.42,26.87
463,1,yancheng,7,3,12384,28,8,0.26,0.2,0.12,0.11,3.2,0.45,0.46,0.61,6,25.35,37.6
464,1,zhenjiang,7,3,3671,5,5,0.27,0.23,0.06,0.09,2.4,0.27,0.432,0.862,6,19.67,15.46
465,1,taizhou,7,3,3002,5,0,0.36,0.2,0.12,0.12,2.3,0.39,0.77,0.77,6,22.18,33.52
466,1,lianyungang,7,2,8190,11,3,0.42,0.24,0.15,0.19,3,0.83,0.25,0.54,6,44.24,7.48
467,0,changzhou,3,3,6536,5,5,0.22,0.28,0.13,0,2.04,0.62,0.52,0.75,6,59.35,79.93
468,1,suqian,7,3,3620,5,1,0.46,0.28,0.06,0.06,3,0.86,0.7,1.61,6,4.28,6.68
469,0,suzhou,1,3,34989,13,1,0.15,0.22,0.09,0.13,2.4,0.41,0.61,0.61,6,41.44,35.25
470,1,taizhou,7,3,7894,10,6,0.14,0.08,0.07,0.07,3.35,0.83,0.75,0.74,6,18.64,30.84
471,1,0tong,7,3,1005,3,1,0.38,0.21,0.15,0.15,2.7,0.5,0.47,0.95,6,22.36,32.62
472,0,changzhou,1,3,23193,5,5,0.43,0.37,0.25,0.32,2,0.38,0.63,0.68,4,45.04,52.8
473,1,wuxi,7,3,1884,5,2,0.12,0.15,0.06,0.06,2.6,0.5,0.5,0.81,6,8.27,12.39
