ID,buildingAreaCategory,buildingShape,censusRegion,climateZone,HDD65,HEATPC,HVACUpgrade,insulationUpgrade,MAINCL,MAINHT,MONUSEC,numEmployeesCategory,numFloors,OCCUPYP,OPNWE,OWNTYPE,region,RENWLL,lightingUpgrade,roofConstuction,STUSED,OPEN24,wallConstruction,WHOPPR,WINTYP,WKHRSC,WWR,yrConstructionCategory,EUI
227,9,2,9,5,4388,3,2,2,3,2,4,10,995,97,2,2,4,2,2,1,2,2,2,0,2,4,5,8,52.640435
234,3,0,4,1,6000,2,1,1,2,2,4,2,3,33,2,2,2,2,1,6,2,2,1,1,2,2,0,1,10.05506667
236,8,2,5,2,3382,3,1,2,3,3,4,9,9,90,1,1,3,2,1,1,2,2,3,0,1,5,3,5,72.85976522
241,7,11,7,3,1216,3,2,2,3,2,4,9,6,100,1,2,3,2,1,1,2,1,1,1,2,7,4,6,195.474
247,7,2,1,1,5611,3,2,2,3,3,4,9,10,75,2,2,1,2,1,6,2,2,2,0,1,4,5,5,107.2812907
256,4,2,5,2,3944,3,2,2,5,5,4,6,1,100,2,9,3,2,2,4,2,2,1,0,2,3,3,6,180.3147143
257,7,0,5,2,3089,3,2,2,2,2,4,9,9,90,1,1,3,2,2,6,2,2,2,0,2,4,0,7,47.86356962
263,6,2,2,2,4635,3,2,2,2,2,4,6,3,100,2,3,1,2,1,1,2,2,3,0,2,4,2,4,16.162375
271,6,2,9,3,2507,3,2,2,3,3,4,8,4,95,2,10,4,2,2,1,2,2,2,0,2,4,3,6,90.90088889
273,8,2,2,2,3993,3,1,2,2,4,4,9,11,100,1,3,1,2,1,4,1,1,3,0,2,7,3,1,65.08531786
281,4,2,7,3,1765,3,2,2,2,2,4,5,1,100,1,10,3,2,2,4,2,2,1,0,1,5,3,7,114.4986667
292,2,1,9,3,836,3,2,2,2,2,4,3,2,100,1,4,4,2,2,4,2,2,4,0,1,4,1,1,44.55315068
296,7,2,9,5,2126,2,2,2,3,3,4,9,4,85,1,2,4,2,2,1,2,1,3,0,3,7,3,6,183.0094368
298,3,2,9,3,918,2,2,2,2,2,4,3,1,100,1,3,4,2,1,5,2,1,5,2,2,7,1,4,3.431084337
299,2,2,4,1,8720,3,2,2,1,2,4,2,1,100,2,3,2,2,2,4,2,2,4,0,2,3,2,7,55.27333333
300,5,2,5,3,119,1,1,2,1,0,4,6,3,60,1,2,3,2,2,7,2,2,3,0,1,4,6,6,63.6039
305,8,2,7,3,858,3,1,2,3,3,4,10,994,100,2,1,3,2,2,1,2,2,2,0,2,4,3,6,57.06354103
314,8,11,3,1,6124,3,1,2,3,3,4,10,3,60,1,2,2,2,2,1,2,1,2,0,2,7,4,5,127.6190381
324,4,2,3,1,4600,3,1,2,2,2,4,6,2,100,1,5,2,2,1,1,2,2,3,0,3,3,2,3,51.5428
329,2,3,8,1,4027,3,2,2,2,2,4,3,1,100,2,3,4,2,2,4,2,2,1,0,2,3,3,6,81.48153846
333,3,2,2,1,6507,1,1,2,1,1,4,3,4,70,2,2,1,2,2,4,2,2,1,0,1,4,3,1,35.14390244
358,6,0,2,1,5656,3,2,2,2,2,4,6,7,60,2,2,1,2,1,1,2,2,2,0,3,4,0,2,102.9531974
360,2,1,9,3,3096,3,2,2,1,1,4,3,1,100,2,3,4,2,2,1,2,2,9,0,1,3,3,7,46.4
365,7,3,4,2,4551,3,2,2,2,2,4,9,4,99,1,2,2,2,2,1,2,2,2,0,2,4,3,8,86.33687705
367,7,2,4,2,4056,3,1,2,2,2,4,8,7,91,1,1,2,2,1,1,2,2,2,0,2,5,6,6,91.66680159
368,8,0,2,2,4918,3,2,2,2,4,4,10,995,95,1,3,1,2,2,1,1,1,5,0,2,7,0,6,37.7599746
378,2,1,3,1,7509,2,2,2,6,3,4,2,3,100,1,4,2,2,2,4,2,2,1,0,1,3,1,2,52.30787879
386,4,2,7,3,1767,3,2,2,2,2,4,6,1,100,2,1,3,1,2,1,2,2,3,0,1,3,4,6,42.2633
394,2,2,4,1,6661,3,2,2,1,1,4,3,1,100,1,2,2,1,2,2,2,2,1,0,2,3,3,8,147.2882979
399,7,5,3,1,4542,3,1,1,3,3,4,7,6,100,1,10,2,2,2,6,2,1,1,0,2,7,5,4,166.079537
407,2,2,6,2,2226,2,2,2,2,2,4,3,2,100,2,3,3,2,2,4,2,2,1,0,2,3,2,5,47.70394737
413,6,2,9,3,1056,2,1,2,2,3,4,6,5,95,1,2,4,2,1,1,2,2,1,0,1,4,3,6,39.72146552
414,8,2,5,2,2498,2,2,2,2,2,4,9,995,60,1,1,3,2,2,6,2,2,1,0,2,4,4,6,43.62229184
418,7,2,9,1,8823,3,2,2,2,3,4,8,7,95,1,2,4,2,2,6,2,2,5,0,2,3,3,5,133.3973012
420,7,2,5,3,579,3,2,2,2,2,4,6,2,80,2,1,3,2,2,1,2,2,3,0,1,4,3,8,95.88654902
421,7,3,7,2,2350,3,1,2,3,6,4,8,5,100,1,9,3,2,1,6,2,2,1,0,2,4,3,6,84.8098871
422,2,2,7,3,1008,3,2,2,1,1,4,3,1,100,1,3,3,2,2,3,2,2,1,0,1,3,1,5,62.46653347
425,6,0,3,1,4590,3,1,2,3,1,4,5,2,95,2,9,2,2,2,6,2,2,1,0,1,3,0,3,111.0478592
428,6,0,2,2,4588,2,2,2,2,3,4,4,2,100,1,5,1,2,2,6,2,1,1,0,2,7,0,7,24.92526154
442,2,4,6,2,2904,3,2,2,5,1,4,3,1,100,1,3,3,2,2,4,2,2,1,3,2,3,1,7,102.51
445,7,9,2,1,4659,3,2,2,5,5,4,7,5,100,2,9,1,2,2,6,2,2,1,0,2,3,4,4,71.49732576
450,2,2,7,2,2835,3,2,2,1,1,4,2,1,100,2,1,3,2,2,4,2,2,4,0,2,2,3,6,184.9245455
451,5,2,9,5,1591,3,1,2,5,2,4,6,1,90,2,2,4,2,1,1,2,2,1,0,1,4,2,5,50.31762319
453,7,2,5,2,3619,3,2,2,5,5,4,7,7,100,1,5,3,2,2,1,2,2,2,0,2,5,3,9,29.0611129
459,8,0,3,1,5299,3,1,2,7,3,4,9,994,50,1,2,2,2,1,1,2,2,1,0,1,5,0,4,154.9521767
468,2,11,7,2,3272,3,1,1,1,1,4,3,2,100,2,2,3,2,1,6,2,2,1,0,1,3,3,2,66.49534884
477,2,5,8,1,5670,3,2,2,1,1,4,2,2,100,1,3,4,2,2,1,2,2,1,0,2,4,2,7,63.89083333
478,3,2,3,1,4504,2,2,2,2,2,4,3,2,50,2,2,2,2,2,2,2,2,1,0,1,3,3,5,57.35566667
482,3,0,5,3,216,1,2,2,2,2,4,3,2,100,1,2,3,2,2,7,2,2,3,0,1,4,0,6,102.3873016
