ID,buildingArea,PAC,Year Built,Number of Buildings,Occupancy,Metered Areas (Energy),ENERGY STAR Score,Site EUI,Weather Normalized Site EUI (kBtu/ft2),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Property GFA - Self-Reported (ft2),SourceEUI
7756,55800,Multifamily Housing,1963,1,100,Whole Building,96,49.2,52.7,694935.8,199661.2,65100,74
7757,155477,Multifamily Housing,1950,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,155477,Not Available
7758,150500,Multifamily Housing,1950,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,150500,Not Available
7759,65394,Multifamily Housing,1928,1,100,Whole Building,64,103.6,Not Available,764536.3,Not Available,76293,126.1
7760,351827,Multifamily Housing,1949,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,351827,Not Available
7761,120000,Multifamily Housing,1932,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,120000,Not Available
7762,51600,Multifamily Housing,1928,1,100,Whole Building,72,69.6,Not Available,746630.3,210765.8,51600,102.7
7763,76860,Multifamily Housing,1923,1,100,Whole Building,5,145.4,155,952668.8,271976.3,76860,178.5
7764,76860,Multifamily Housing,1923,1,100,Whole Building,100,17,16.7,921552.8,263492.9,76860,42.9
7765,137495,Multifamily Housing,1922,2,100,Whole Building,72,81.2,85.2,1988921.1,558623.2,151244,112.8
7766,88200,Multifamily Housing,1927,1,100,Whole Building,59,74.5,77.7,1449428.7,413568.3,88200,112.5
7767,145997,Multifamily Housing,1963,1,100,Whole Building,58,81.4,81.2,2051679.9,590085.7,160597,109.8
7769,75390,Multifamily Housing,1960,1,100,Whole Building,56,103.6,113.5,1138385.9,327313,75390,137
7770,107220,Multifamily Housing,1927,1,100,Whole Building,66,78.5,78.3,1231608.1,353128.3,107210,103.9
7771,101472,Multifamily Housing,1927,1,100,Whole Building,74,68.7,71.6,1185799.7,329591.8,118384,90.9
7773,66000,Multifamily Housing,1935,1,100,Whole Building,83,68.8,72.5,826314.2,231266.8,77002,94.7
7774,124045,Multifamily Housing,1963,1,100,Whole Building,47,100.2,106.5,1938728.2,555770.6,112530,141.3
7776,57349,Multifamily Housing,1962,1,100,Whole Building,27,123.9,128.3,1427823,407199.8,53349,184.4
7777,54450,Multifamily Housing,1927,1,90,Whole Building,100,28.9,Not Available,822434.5,233400.2,55000,61.3
7778,68448,Multifamily Housing,1927,1,100,Whole Building,74,89,88.7,1018965.7,291905.1,71870,120.3
7780,64368,Multifamily Housing,1928,1,100,Whole Building,44,86.1,96.7,1035891.6,289520.9,64368,123.2
7783,111300,Multifamily Housing,1965,1,100,Whole Building,23,112.7,119.3,2799204.7,787113.6,111300,167.6
7784,58500,Multifamily Housing,1927,1,100,Whole Building,3,138.5,145,1192935.7,333131.2,58500,188
7785,63100,Multifamily Housing,1931,1,100,Whole Building,1,130.8,136.4,3323097.6,973944.1,63100,247.4
7787,101500,Multifamily Housing,1962,1,100,Whole Building,59,87.7,93.9,1551111.7,444659.5,84630,127.8
7788,79800,Multifamily Housing,1927,1,100,Whole Building,31,103.2,102.6,1481706.3,418559.2,95760,137.2
7789,232808,Multifamily Housing,1965,1,100,Whole Building,39,96.8,104.6,4353177.3,1243051.4,233000,137.5
7790,65000,Multifamily Housing,1927,1,100,Whole Building,59,87.6,87.2,773193.3,218372,68250,112.6
7791,153954,Multifamily Housing,1927,1,100,Whole Building,87,71.6,72.6,950479,269357.1,160110,85
7792,71000,Multifamily Housing,1927,1,100,Whole Building,67,83.3,82.7,883513,247648.7,73130,109.8
7793,79000,Multifamily Housing,1959,1,100,Whole Building,60,77.7,81.7,1187887.9,315499.9,82950,111.5
7794,74830,Multifamily Housing,1961,1,100,Whole Building,25,81.7,86.8,1915446.4,543001.2,74900,137.2
7795,107920,Multifamily Housing,1928,1,95,Whole Building,23,111.8,116.1,1550698.3,454483.6,107920,147.4
7796,101136,Multifamily Housing,1927,1,100,Whole Building,28,95.4,99.6,1856120.3,528645.7,101136,138.5
7797,86412,Multifamily Housing,1901,1,100,Whole Building,27,110.2,110.2,1456527.4,426883.7,86402,147.5
7798,77760,Multifamily Housing,1955,1,100,Whole Building,59,72.7,Not Available,1506331.4,433389.4,89229,109.5
7799,66984,Multifamily Housing,1928,1,100,Whole Building,13,121.9,121.9,1404620.3,411670.6,78148,162.9
7800,60820,Multifamily Housing,1910,1,100,Whole Building,27,118.6,125.2,1117705.4,319978.4,67820,158.9
7801,106190,Multifamily Housing,1910,1,100,Whole Building,70,77.1,79.8,1435762.3,410248.7,117390,106.5
7802,115428,Multifamily Housing,1928,1,100,Whole Building,50,103.7,Not Available,1588451.6,444263.9,115429,134.2
7803,61000,Multifamily Housing,1925,1,100,Whole Building,81,73.4,80,558298.1,157752.1,61000,93.7
7804,54001,Multifamily Housing,1925,1,100,Whole Building,11,144.1,Not Available,888091,253076,54001,180.8
7805,55000,Multifamily Housing,1926,1,100,Whole Building,3,165.8,176.7,616749.7,175753.3,66000,187.5
7806,55800,Multifamily Housing,1926,1,100,Whole Building,1,190.6,Not Available,816248,Not Available,55800,223.6
7807,70300,Multifamily Housing,1941,1,100,Whole Building,100,20,Not Available,1209653.7,345188.9,81019,52.2
7808,115000,Multifamily Housing,1957,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,115000,Not Available
7809,247530,Multifamily Housing,1963,1,100,Whole Building,84,60.1,64.8,4239879.1,1186542.8,247530,97.4
7811,69043,Multifamily Housing,1928,1,100,Whole Building,93,58.6,Not Available,1022228.5,292837.9,75937,88
7812,121796,Multifamily Housing,2004,1,95,Whole Building,44,78.2,82.6,2396304.3,702316.5,121796,123.2
7813,77000,Multifamily Housing,1983,1,100,Whole Building,43,114.6,120.7,1126894.8,313240.9,77000,148.2
7814,170350,Multifamily Housing,1958,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,170350,Not Available
7815,69960,Multifamily Housing,1929,1,100,Whole Building,51,96.6,103.1,1334560.8,383391,81620,132.5
7816,88056,Multifamily Housing,1926,1,100,Whole Building,100,13.8,13.5,1081569.9,305039.3,102732,36.5
7817,59000,Office,1927,1,100,Whole Building,89,44.8,45.8,2158272.4,632553.4,59000,123.5
7818,154100,Strip Mall,2013,1,100,Whole Building,Not Available,73.6,74.1,8140735.9,2385912.9,114723,225.5
7819,58000,Multifamily Housing,1963,1,100,Whole Building,36,99.1,104.9,950243,270723,58000,138.3
7820,65000,Multifamily Housing,1961,1,100,Whole Building,27,104.5,109.8,1164832.6,333867.9,65000,143.9
7822,118423,Office,2013,1,100,Whole Building,82,64.4,64.7,5195170.4,1522617.2,118423,159.3
7823,59057,Multifamily Housing,1925,1,100,Whole Building,54,93,97.8,911159.3,259841.9,59057,129.9
7824,111620,Multifamily Housing,2000,1,100,Whole Building,34,97.6,102.4,2618961.8,735031.7,98660,158
7825,64800,Multifamily Housing,1927,1,100,Whole Building,39,96.8,104.6,913873,260766.2,64800,127.9
7826,78864,Multifamily Housing,1956,1,100,Whole Building,10,149.9,159.3,1413321.6,406897.6,53000,208.5
7828,94050,Multifamily Housing,1986,1,100,Whole Building,97,54.6,54.1,1573003.7,445189.4,94050,92.3
7829,1743584,College/University,1841,1,100,Whole Building,Not Available,133.4,140,66726238.5,19306934.3,1470984,234.8
7830,194442,Other,2006,1,100,Whole Building,Not Available,18,17.7,9324314.8,2690023.8,517465,56.6
7832,107825,K-12 School,1972,1,100,Whole Building,58,69.5,74.2,5366189.1,1546694.1,163812,141.5
7833,75065,Office,1966,1,100,Whole Building,67,108.3,113.3,3396069.7,973763,91614,191.1
7834,88500,Multifamily Housing,1927,1,100,Whole Building,1,131,137,3019620,867445,88500,205.7
7835,89700,Multifamily Housing,1927,1,100,Whole Building,1,151,157.9,3060564,883832.2,89700,226.7
7836,93000,Multifamily Housing,1928,1,100,Whole Building,Not Available,122.3,128.7,1868389.2,525143.3,93000,170.4
7837,51594,Multifamily Housing,1927,1,100,Whole Building,84,93.9,102,135227.8,40086.6,54170,103.9
7839,55200,Multifamily Housing,1915,1,100,Whole Building,97,73.6,76.3,47338.3,14112.3,55200,78
7841,96250,Multifamily Housing,1950,1,100,Whole Building,92,53.5,53,894401.9,249223.2,96250,75.6
7842,64824,Multifamily Housing,1947,1,100,Whole Building,45,141.5,150.2,169999.5,49824,50000,150.2
7843,88440,Office,2000,1,100,Whole Building,70,101.8,109.1,1476103.6,423561.5,88440,141.8
