ID,buildingArea,PAC,Year Built,Number of Buildings,Occupancy,Metered Areas (Energy),ENERGY STAR Score,Site EUI,Weather Normalized Site EUI (kBtu/ft2),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Property GFA - Self-Reported (ft2),SourceEUI
1,289356,Office,1963,2,100,Whole Building,Not Available,305.6,303.1,38139374.2,11082770.5,762051,619.4
2,3693539,Hospital (General Medical & Surgical),1969,12,100,Whole Building,55,229.8,228.8,332365924,96261312.1,3889181,404.3
3,152765,Hospital (General Medical & Surgical),1924,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,231342,Not Available
4,891040,Hospital (General Medical & Surgical),1971,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1305748,Not Available
5,211400,Hospital (General Medical & Surgical),1932,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,179694,Not Available
6,2230742,Hospital (General Medical & Surgical),1932,12,100,Whole Building,55,359.9,359,86335350.5,24550859.4,2971874,414.2
7,245000,Mixed Use Property,1932,1,60,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,245000,Not Available
10,3750565,Multifamily Housing,1974,4,100,Whole Building,Not Available,143974.4,143976,Not Available,Not Available,2738875,151172.9
11,3750565,Other,1974,1,100,Whole Building,Not Available,1138.3,1091.5,227658.1,63979.9,200,3574.2
12,3750565,Multifamily Housing,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,912892,Not Available
13,3750565,Multifamily Housing,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,912892,Not Available
14,3750565,Multifamily Housing,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,912892,Not Available
15,,Multifamily Housing,1903,2,100,Whole Building,93,32,Not Available,11241926.1,3249755.2,432503,87.9
16,212656,Multifamily Housing,1903,1,100,Whole Building,1,295.4,316.8,3477064.5,1004824,172656,352.2
17,,Hospital (General Medical & Surgical),1950,2,100,Whole Building,80,352.7,Not Available,62425429.2,18295844.6,567517,599.5
18,567517,Hospital (General Medical & Surgical),1950,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,567517,Not Available
19,53917,Medical Office,1950,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,58893,Not Available
20,,College/University,1907,7,100,Whole Building,Not Available,120,125.2,17958140.6,5217062.4,598000,188.7
21,,Multifamily Housing,1939,2,100,Whole Building,72,76.2,79.9,3968641.7,1121931.8,321464,103.3
22,179130,Multifamily Housing,1939,1,100,Whole Building,67,75.7,79,2886852.2,820016.2,204720,106.6
23,102150,Multifamily Housing,1939,1,100,Whole Building,80,77.1,82.7,1081789.4,308074.6,116744,97.7
24,,Multifamily Housing,1911,2,100,Whole Building,100,68,Not Available,4013954.9,1156269.9,189766,115.6
25,151666,Multifamily Housing,1911,1,100,Another configuration,100,23.7,23.4,3090622.7,894049,130629,74.3
26,64827,Multifamily Housing,1911,1,100,Another configuration,100,17.9,17.4,923332.2,262377.2,54913,53.9
27,,Residence Hall/Dormitory,1964,2,100,Whole Building,Not Available,115.9,118.8,5527.4,1620,535632,121.7
28,256528,College/University,1964,1,100,Whole Building,Not Available,0,0,0,0,256528,0
29,339104,College/University,1964,1,100,Whole Building,Not Available,0,0,0,0,339104,0
30,54725,College/University,1971,2,100,Whole Building,Not Available,26.9,26.9,5357112.7,1570079.7,199058,84.5
31,61582,College/University,1971,0,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,61582,Not Available
32,750000,Multifamily Housing,1962,6,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,641719,Not Available
33,175885,Multifamily Housing,1973,2,100,Whole Building,40,56.2,58.8,6056300.2,1887619.4,175885,131
34,167856,Multifamily Housing,1952,4,100,Whole Building,67,49.5,50.7,3900932.9,1121175.7,152308,105.5
35,217584,Multifamily Housing,1952,6,100,Whole Building,99,25.5,25.1,3900932.9,1121175.7,228570,62.4
36,145056,Multifamily Housing,1952,4,100,Whole Building,12,65.3,66.8,6531693.6,1892619.8,152380,158.2
37,290112,Multifamily Housing,1952,8,100,Whole Building,88,43.7,43.4,6057016.5,1749805.6,304760,87.4
38,,College/University,1897,56,100,Whole Building,Not Available,175.9,175.9,353396020.5,103574436.6,6385382,300.4
39,,Office,1996,1,100,Whole Building,100,0,0,0,0,83131,0
40,,Office,1906,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,50000,Not Available
41,,Residence Hall/Dormitory,1950,1,100,Whole Building,100,0.5,0.5,Not Available,Not Available,54138,0.5
42,,Residence Hall/Dormitory,1898,1,100,Whole Building,99,16,16,750367,219920,48608,49.1
43,57300,Multifamily Housing,1908,1,100,Whole Building,100,6.1,5.8,98511.3,28872,57300,11.2
44,57430,Residence Hall/Dormitory,1908,1,100,Whole Building,100,6.8,6.8,172640.4,50598,42128,15.8
45,52624,Residence Hall/Dormitory,1898,1,100,Whole Building,89,30.4,30.4,2106568.7,617399.9,72109,93
46,135458,Residence Hall/Dormitory,1924,1,100,Whole Building,86,34.2,34.2,4787718.5,1403199.9,140056,107.3
47,,Office,1999,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,258119,Not Available
48,,Office,1934,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,441108,Not Available
49,,Residence Hall/Dormitory,1908,1,100,Whole Building,100,0,0,Not Available,Not Available,157385,0
50,,Residence Hall/Dormitory,1924,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,79951,Not Available
51,,Residence Hall/Dormitory,1907,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,87639,Not Available
52,,Residence Hall/Dormitory,1924,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,78464,Not Available
53,,Office,1925,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,77271,Not Available
54,,Office,1925,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,103681,Not Available
55,,Office,1924,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,101704,Not Available
56,,Residence Hall/Dormitory,1935,1,100,Whole Building,100,0,0,Not Available,Not Available,169396,0
57,710600,Residence Hall/Dormitory,1925,1,100,Whole Building,100,0,0,Not Available,Not Available,105156,0
58,710600,Office,1961,1,100,Whole Building,73,73.4,73.4,18337452.7,5374399.3,249978,230.3
59,710600,Office,1950,1,100,Whole Building,100,0,0,Not Available,Not Available,16803,0
60,710600,Office,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,36752,Not Available
61,710600,Office,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,6287,Not Available
62,422915,Office,1910,1,100,Whole Building,71,69.9,69.9,29607971.1,8677598.9,423521,219.5
63,365100,Residence Hall/Dormitory,1980,1,100,Whole Building,100,0,0,Not Available,Not Available,352040,0
64,1368870,Office,1977,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,95954,Not Available
65,1368870,Office,1988,1,100,Whole Building,1,4377.4,4377.4,124836566,36587500.2,204069,5874.8
66,1368870,Office,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,77917,Not Available
67,1368870,Office,1897,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,60373,Not Available
68,1368870,Office,1987,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,62004,Not Available
69,1368870,Office,1924,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,59847,Not Available
70,1368870,Office,1911,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,64447,Not Available
71,1368870,Office,1910,1,100,Common areas only,Not Available,0,0,0,0,111632,0
72,1368870,Office,1927,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,147145,Not Available
73,1368870,Office,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,148666,Not Available
74,1368870,Office,1987,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,149779,Not Available
75,1368870,Office,1897,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,126670,Not Available
76,1368870,Office,1964,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,199107,Not Available
77,1368870,Office,1897,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,90679,Not Available
78,1368870,Office,1930,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,133021,Not Available
79,1368870,Office,1964,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,166959,Not Available
80,1368870,College/University,1950,1,100,Whole Building,Not Available,0.3,0.3,Not Available,Not Available,287737,0.3
81,1368870,Worship Facility,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,20035,Not Available
82,1368870,Office,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,163689,Not Available
83,1368870,Residence Hall/Dormitory,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,34637,Not Available
84,1368870,Office,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,11712,Not Available
85,1368870,Residence Hall/Dormitory,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,131923,Not Available
86,1368870,Office,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,27713,Not Available
87,1368870,Office,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,21482,Not Available
88,1368870,Office,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,17651,Not Available
89,1368870,College/University,2010,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,207750,Not Available
90,55960,Multifamily Housing,1909,1,100,Whole Building,100,0.1,0.1,Not Available,Not Available,53440,0.1
91,74634,Residence Hall/Dormitory,1920,1,100,Whole Building,100,1.1,1.1,9720.8,2849,74328,1.4
92,50120,Residence Hall/Dormitory,1924,1,100,Whole Building,100,0.1,0.1,5281.8,1548,50120,0.3
93,50120,Residence Hall/Dormitory,1924,1,100,Whole Building,100,7.5,7.5,34727.3,10178,49668,9.3
94,55056,Residence Hall/Dormitory,1932,1,100,Whole Building,100,11.4,11.4,0,0,57903,11.9
95,,College/University,1914,12,100,Whole Building,Not Available,111.5,110.3,241907518,69844385.5,2904696,291.2
96,286481,Office,2004,1,100,Whole Building,1,391.6,Not Available,49343250,14272721.7,275533,785.2
97,,Office,1998,1,100,Whole Building,Not Available,408.9,412.6,33831547,9782294.3,152978,891.4
98,,Office,1995,1,100,Whole Building,Not Available,545,Not Available,13968727.8,4042256.4,69705,991
99,3693539,Office,1929,1,100,Whole Building,Not Available,430.8,436.5,128220229.9,36830618.2,716678,864.5
100,93600,Office,1914,1,100,Whole Building,74,108.3,108.1,1954768.9,565153.5,97642,169.1
101,,Office,1928,1,100,Whole Building,19,259.5,264.6,15880812.4,4654399.3,256014,432.3
102,230565,Office,1976,1,100,Whole Building,1,555.8,555.8,50375310.3,14764157.1,324836,969
103,136608,Office,1929,1,100,Whole Building,84,108.6,111.9,4148446,1195236.2,174348,161.7
104,807327,Office,1973,1,100,Whole Building,78,105.8,109.3,7552185.4,2200919.5,268861,167.6
105,1651267,Office,1973,1,100,Whole Building,78,124.5,Not Available,11208692.6,3238312.8,481715,177.2
106,84442,Office,1970,1,100,Whole Building,81,85.6,89.8,2898517.5,825719.4,84508,159.6
107,,College/University,1905,4,100,Another configuration,Not Available,92.4,92.4,36618926.7,10630818.5,953183,185.2
108,,Residence Hall/Dormitory,1952,1,100,Whole Building,84,53.8,58.9,1590366.2,466109.6,66687,106.3
109,125840,College/University,1905,1,100,Whole Building,Not Available,62.2,63.8,6028120.2,1733059.2,128572,165.7
110,526781,College/University,1964,1,100,Whole Building,Not Available,121.7,121.7,29000440.2,8499541.8,628399,235.7
111,,Other,1940,8,100,Whole Building,Not Available,Not Available,Not Available,466575477.2,134297837,3465563,Not Available
112,239235,Urgent Care/Clinic/Other Outpatient,2009,1,100,Whole Building,Not Available,250.1,252,32115563.6,9268810,238341,561.8
113,62200,Medical Office,2003,1,100,Whole Building,6,147.9,150,5910266.3,1687597.8,60274,367.8
114,228637,Laboratory,1987,1,100,Whole Building,Not Available,399.3,409,65532688.1,18682622.3,327993,867.4
115,731550,Laboratory,2006,1,100,Whole Building,Not Available,475.5,463.3,168728314.2,48192396.2,743935,1011.3
116,,College/University,1833,77,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,10477571,Not Available
117,518647,Multifamily Housing,1966,1,100,Another configuration,100,5.4,5.5,1536764.8,450399.9,454925,12.8
118,307312,Residence Hall/Dormitory,1981,1,100,Whole Building,100,8.1,8.2,1997060.6,585304.9,298336,22.5
119,1485916,Multifamily Housing,1959,1,100,Whole Building,100,16.1,16.2,4399125.7,1289309.8,306659,46.9
120,1485916,Multifamily Housing,1960,1,100,Whole Building,100,15.3,14.8,4355622.6,1224302.3,322355,44.3
121,1485916,Multifamily Housing,1960,1,100,Whole Building,100,18.2,17.5,5285841.5,1482158.3,322571,53.3
122,305900,College/University,1992,1,100,Another configuration,Not Available,Not Available,Not Available,Not Available,Not Available,213423,Not Available
123,305900,College/University,1896,1,100,Whole Building,Not Available,19.6,19.6,1767415.9,517999.9,89951,61.7
124,305900,College/University,1972,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,113233,Not Available
125,470400,Library,1972,1,100,Another configuration,Not Available,0,0,Not Available,Not Available,505205,0
126,119170,College/University,1966,1,100,Whole Building,Not Available,9915.6,9958.6,23813032,6979199.6,158590,10711.8
127,232930,Social/Meeting Hall,2001,1,100,Whole Building,Not Available,30.6,30.6,6018768.3,1763999.9,247639,82.9
128,91104,Social/Meeting Hall,2012,1,100,Whole Building,Not Available,1.1,1.2,73972.2,21680,91100,2.9
129,153348,Residence Hall/Dormitory,1986,1,100,Whole Building,100,4.5,4.5,0,0,144268,4.7
130,202521,Library,1951,1,100,Whole Building,Not Available,0,0,0,0,257259,0
131,122500,College/University,1895,1,100,Another configuration,Not Available,52.9,52.9,3245494.5,951199.9,61310,166.2
132,141811,College/University,2001,1,100,Whole Building,Not Available,10.1,10.1,1656867.2,485599.9,168566,31.2
133,,Residence Hall/Dormitory,1894,1,100,Another configuration,100,5.4,5.4,308990.7,90560,76964,14
134,69800,College/University,1893,1,100,Whole Building,Not Available,56.5,55.9,5860451.5,1697415.1,103680,177.5
135,125450,College/University,1929,1,100,Another configuration,Not Available,3.9,4.2,0,0,151070,4.1
136,100628,College/University,1894,1,100,Whole Building,Not Available,29.9,29.9,3841365.6,1125839.7,128679,93.7
137,56684,College/University,1891,1,100,Whole Building,Not Available,35,35,2584931.2,757599.9,73913,109.8
138,180000,College/University,1895,1,100,Whole Building,Not Available,11.7,11.2,3009383.9,851147.6,258155,36.6
139,53482,College/University,1906,1,100,Whole Building,Not Available,0,0,0,0,60329,0
140,91402,College/University,1901,1,100,Another configuration,Not Available,0,0,0,0,124526,0
141,,College/University,2011,1,100,Another configuration,Not Available,4.8,4.8,428547.2,125600,90870,14.9
142,366268,College/University,1896,1,100,Another configuration,Not Available,1.5,1.5,403980.8,118400,262739,4.8
143,366268,College/University,1896,1,100,Another configuration,Not Available,19.4,19.4,1898982.7,556559.9,97711,61
144,116237,Residence Hall/Dormitory,1962,1,100,Whole Building,100,12.3,13,Not Available,Not Available,209364,12.9
145,55224,College/University,1896,1,100,Whole Building,Not Available,78.5,75.3,5416890.6,1523552.7,69021,246.4
146,179800,Residence Hall/Dormitory,1929,1,100,Whole Building,100,19.3,19.3,2639386.3,773559.8,182714,50.5
147,110447,Multifamily Housing,1928,1,100,Another configuration,Not Available,16,17.4,571933.1,167624,120079,26.4
148,,Multifamily Housing,1960,1,100,Whole Building,1,184.3,183.7,5240593,1481027.6,305587,229.4
150,,Hospital (General Medical & Surgical),1893,2,100,Whole Building,19,317.6,310,20327067.3,5814469.3,198896,566.3
151,56756,Medical Office,1893,1,100,Whole Building,77,127.6,133.4,Not Available,Not Available,60828,153.5
152,102314,Hospital (General Medical & Surgical),1969,1,100,Whole Building,3,388.3,376.8,19460918.5,5562886.3,138068,721.5
153,,College/University,1848,3,100,Whole Building,Not Available,97.7,104.8,20786284.3,6092110.7,515799,185.7
154,192939,Residence Hall/Dormitory,1924,1,100,Whole Building,59,93.6,99.2,6744127.4,1976590.4,200261,168
155,237021,College/University,1848,1,100,Whole Building,Not Available,114.9,124.4,8741110.1,2561872.5,183559,218.5
156,,College/University,1956,1,100,Whole Building,Not Available,80,85.6,5301046.9,1553647.8,131979,166.7
157,,Other,1925,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,72000,Not Available
158,70734,Residence Hall/Dormitory,1925,1,100,Whole Building,23,164.9,175.5,4053230.9,1146228,72000,286.4
159,,Other,1909,3,100,Whole Building,Not Available,38.2,41.7,675466.8,197968,338996,44.2
160,59131,Multifamily Housing,1939,1,100,Whole Building,100,2.6,2.6,111531.5,32688,54100,7.1
161,88332,Residence Hall/Dormitory,1910,1,100,Whole Building,61,145,159.9,675576,188516.6,88332,168.3
162,178897,Multifamily Housing,1909,1,100,Whole Building,100,29.8,29.8,563935.4,165280,188572,36.4
163,,Other,1964,2,100,Whole Building,Not Available,10.7,10.7,641633.4,188052,176351,18.9
164,87271,Multifamily Housing,1964,1,100,Whole Building,58,100.8,100.8,290293,85080,87260,112.8
165,87979,Multifamily Housing,1967,1,100,Whole Building,100,17.2,17.2,351340.5,105215.1,89091,26.3
166,,Other,1910,3,100,Whole Building,Not Available,3.8,3.9,419914.8,125594,166302,9.3
167,54100,Multifamily Housing,1910,1,100,Whole Building,100,3.4,3.4,184186.6,53982,53676,10.8
168,53352,Multifamily Housing,1910,1,100,Whole Building,100,5.5,5.5,235728.3,69088,50292,15.6
169,64842,Multifamily Housing,1980,1,100,Whole Building,85,78.9,78.9,248796.2,72248.9,62334,91.2
170,216559,Senior Care Community,1915,3,95,Whole Building,66,213.4,222.2,16880892.8,4839226,288790,346.1
178,,Self-Storage Facility,2009,2,100,Whole Building,Not Available,13.7,Not Available,839552.2,Not Available,83095,35.5
179,55884,Self-Storage Facility,2009,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,55884,Not Available
180,,Self-Storage Facility,2009,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27211,Not Available
181,357000,College/University,2000,2,100,Whole Building,Not Available,175.2,174.2,26426349.3,7647969,357000,338.6
182,63000,College/University,1930,0,10,Whole Building,Not Available,992.6,986.1,26426349.3,7624955.4,63000,1918.9
183,540388,Strip Mall,1987,4,95,Whole Building,Not Available,145.2,149.2,52472732.6,15378876.4,539647,355.6
184,,Retail Store,2013,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21000,Not Available
185,540388,Bank Branch,2004,1,100,Whole Building,3,279,295.1,503490.5,144153.9,3190,622.8
186,540388,Retail Store,2004,0,90,Whole Building,Not Available,70.8,72,3104421.7,902687.2,50000,204.1
187,540388,Bank Branch,2007,1,100,Whole Building,45,124.1,132,308465.1,90405.9,3800,300
188,1259938,Multifamily Housing,1965,4,100,Whole Building,3,175.4,174,Not Available,Not Available,1385656,184.2
189,1800000,Multifamily Housing,1965,3,100,Whole Building,2,181.6,179.9,Not Available,Not Available,1989288,190.7
190,,Hospital (General Medical & Surgical),1987,3,100,Not Available,51,218.7,218.7,48224003.7,14133645.3,480751,439.3
191,,Office,1978,1,100,Whole Building,80,76.4,81,3325632.2,974686.9,89506,157.9
192,,Hospital (General Medical & Surgical),1990,1,100,Whole Building,100,11.2,11.6,Not Available,Not Available,131610,11.8
193,,Hospital (General Medical & Surgical),1987,1,100,Whole Building,6,383,382.2,44913159.5,13102239.3,259635,763.7
194,436115,Multifamily Housing,1928,6,95,Whole Building,17,122.5,129.7,7257526,2038135.5,436115,163.4
195,436115,Multifamily Housing,1928,1,100,Whole Building,34,94.4,100.1,996260.5,287207.5,74068,127.2
196,436115,Multifamily Housing,1928,1,100,Whole Building,22,112,121.2,980532,275487,86192,141.3
197,436115,Multifamily Housing,1928,1,100,Whole Building,43,97,102.5,1070432.5,301337.5,72806,132.6
198,436115,Multifamily Housing,1928,1,100,Whole Building,6,105.2,111.8,1056809.6,300343.9,74549,140.1
199,436115,Multifamily Housing,1928,1,100,Whole Building,13,123.7,123.1,2033804.2,579014.4,101686,171.7
200,436115,Multifamily Housing,1928,1,100,Whole Building,1,150.6,160.6,1119687.4,317998.9,61782,196
201,,Enclosed Mall,1970,2,100,Whole Building,Not Available,122,Not Available,Not Available,Not Available,2662400,128.1
202,114400,Enclosed Mall,1970,1,80,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,114400,Not Available
203,2548000,Enclosed Mall,1970,1,80,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2548000,Not Available
204,749142,Multifamily Housing,1953,12,100,Whole Building,96,35.5,34.6,20492629.3,5695967.6,735000,95.6
205,749142,Multifamily Housing,1953,1,100,Whole Building,Not Available,Not Available,72.9,Not Available,Not Available,70000,Not Available
206,749142,Multifamily Housing,1953,1,100,Whole Building,Not Available,65.9,72,Not Available,Not Available,17500,69.2
207,749142,Multifamily Housing,1953,1,100,Whole Building,100,65.2,Not Available,Not Available,Not Available,70000,67.5
208,749142,Multifamily Housing,1953,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17500,Not Available
209,749142,Multifamily Housing,1953,1,100,Whole Building,100,64.5,Not Available,Not Available,Not Available,70000,66.8
210,749142,Multifamily Housing,1953,1,100,Whole Building,100,65.9,Not Available,Not Available,Not Available,70000,68.2
211,749142,Multifamily Housing,1953,1,100,Whole Building,100,71.5,Not Available,Not Available,Not Available,70000,73.7
212,749142,Multifamily Housing,1953,1,100,Whole Building,Not Available,Not Available,69.3,Not Available,Not Available,70000,Not Available
213,749142,Multifamily Housing,1953,1,100,Whole Building,Not Available,Not Available,66.4,Not Available,Not Available,70000,Not Available
214,749142,Multifamily Housing,1953,1,100,Whole Building,Not Available,Not Available,71.5,Not Available,Not Available,70000,Not Available
215,749142,Multifamily Housing,1953,1,100,Whole Building,Not Available,Not Available,78.8,Not Available,Not Available,70000,Not Available
216,749142,Multifamily Housing,1953,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,70000,Not Available
217,363265,Multifamily Housing,1953,7,100,Whole Building,98,27.4,26.1,9580691,2672290.6,350000,86
218,363265,Multifamily Housing,1953,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,35000,Not Available
219,363265,Multifamily Housing,1953,1,100,Whole Building,36,154.5,170.8,Not Available,Not Available,70000,162.3
220,363265,Multifamily Housing,1953,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35000,Not Available
221,363265,Multifamily Housing,1953,1,100,Whole Building,69,130,142.9,Not Available,Not Available,70000,136.5
222,363265,Multifamily Housing,1953,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35000,Not Available
223,363265,Multifamily Housing,1953,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35000,Not Available
224,363265,Multifamily Housing,1953,1,100,Whole Building,Not Available,Not Available,129.8,Not Available,Not Available,70000,Not Available
225,789880,Multifamily Housing,1955,12,100,Whole Building,99,27.9,26.6,17238823.1,4794817.7,665000,83.4
226,789880,Multifamily Housing,1955,1,100,Whole Building,100,59.4,64.2,Not Available,Not Available,70000,62.4
227,789880,Multifamily Housing,1955,1,100,Whole Building,100,46.2,49.9,Not Available,Not Available,70000,48.5
228,789880,Multifamily Housing,1955,1,100,Whole Building,100,1.6,1.8,Not Available,Not Available,70000,1.7
229,789880,Multifamily Housing,1955,1,100,Whole Building,100,68.7,Not Available,Not Available,Not Available,35000,71.7
230,789880,Multifamily Housing,1955,1,100,Whole Building,100,48.8,Not Available,Not Available,Not Available,70000,51.3
231,789880,Multifamily Housing,1955,1,100,Whole Building,100,60.3,Not Available,Not Available,Not Available,35000,62.9
232,789880,Multifamily Housing,1955,1,100,Whole Building,100,37.2,Not Available,Not Available,Not Available,70000,38.4
233,789880,Multifamily Housing,1955,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,70000,Not Available
234,789880,Multifamily Housing,1955,1,100,Whole Building,100,39.6,Not Available,Not Available,Not Available,70000,40.4
235,789880,Multifamily Housing,1955,1,100,Whole Building,Not Available,69,75.2,Not Available,Not Available,17500,72.4
236,789880,Multifamily Housing,1955,1,100,Whole Building,100,58.1,Not Available,Not Available,Not Available,70000,59.8
237,789880,Multifamily Housing,1955,1,100,Whole Building,Not Available,71.2,76.4,Not Available,Not Available,17500,74.8
238,394644,Multifamily Housing,1954,5,100,Whole Building,99,27.4,26.1,8790233,2438522.1,350000,81.3
239,394644,Multifamily Housing,1954,1,100,Whole Building,100,56.8,Not Available,Not Available,Not Available,70000,58.3
240,394644,Multifamily Housing,1954,1,100,Whole Building,100,67.8,73.8,Not Available,Not Available,70000,71
241,394644,Multifamily Housing,1954,1,100,Whole Building,100,47.7,Not Available,Not Available,Not Available,70000,49.1
242,394644,Multifamily Housing,1954,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,70000,Not Available
243,394644,Multifamily Housing,1954,1,100,Whole Building,100,44.6,Not Available,Not Available,Not Available,70000,46.1
244,236984,Multifamily Housing,1966,2,100,Whole Building,68,42.4,44.9,11898121.3,3702505,291876,129.7
245,236984,Multifamily Housing,1966,1,100,Whole Building,68,41.8,44.2,5886996.5,1827689.5,145938,128.2
246,236984,Multifamily Housing,1966,1,100,Whole Building,65,42.9,45.6,6011124.8,1874776.1,145938,131.1
247,316000,Multifamily Housing,1953,3,95,Whole Building,65,85,89.1,5171985,1489364.5,316000,123.4
248,316000,Multifamily Housing,1953,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,157998,Not Available
249,316000,Multifamily Housing,1953,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,105332,Not Available
250,316000,Multifamily Housing,1953,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,52666,Not Available
251,550010,Multifamily Housing,1962,17,100,Whole Building,26,113.8,118.4,14606591.2,4158216,608360,169.7
252,550010,Multifamily Housing,1962,1,100,Whole Building,98,28.1,27.4,14606591.2,4158216,534260,86.6
253,550010,Multifamily Housing,1962,1,100,Whole Building,89,38.8,38.3,2352503.3,669750.2,74100,107.1
254,550010,Multifamily Housing,1962,1,100,Whole Building,95,89,94.1,Not Available,Not Available,608360,93.4
255,184087,K-12 School,1928,14,100,Whole Building,49,75.9,81.1,9982738.4,2925772.9,322505,142.9
256,,Enclosed Mall,2014,3,80,Whole Building,Not Available,102.4,101.9,51961414.1,15048033.1,536000,310.1
257,,Enclosed Mall,2014,1,80,Whole Building,Not Available,5.4,6.1,Not Available,Not Available,536000,5.7
258,419742,Parking,2014,1,80,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,419742,Not Available
259,363140,Parking,2014,1,80,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,363140,Not Available
260,175941,Multifamily Housing,1952,3,100,Whole Building,93,63.4,66.5,2206393.7,613126.6,205264,89
261,175941,Multifamily Housing,1952,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,102632,Not Available
262,200466,Multifamily Housing,1950,3,100,Whole Building,100,34.1,34.2,2537965.1,743834.9,233877,57.8
263,,Other - Recreation,1930,2,100,Whole Building,Not Available,55.6,55.6,16237025,4758799.2,302053,170.7
264,,Other - Recreation,1930,1,100,Whole Building,Not Available,177.2,177.2,16237025,4758799.2,94717,544.3
