ID,PublicORResidential,city,principleActivity,ClimateZone,BuildingArea,numFloorAbove,numFloorBelow,WWR_South,WWR_North,WWR_East,WWR_West,ExWindowHTC_East,ExWindowHTC_West,ExWindowHTC_South,ExWindowHTC_North,SC_East,SC_West,SC_South,SC_North,RoofHTC,ExWallHTC,OverheadFloorHTC,FloorHTCOuter,exWinAirtightness,HeatingLoad,CoolingLoad
2000,0,suzhou,3,3,27675.58,4,1,0.14,1.66,0.4,0.8,1.66,1.66,3.2,3.2,0.4,0.4,0.43,0.43,0.57,1.48,1.57,0.17,4,72.49,88.05
2001,1,suzhou,7,3,1233.04,3,3,0.31,0.23,0.1,0.08,2.6,2.6,2.6,2.6,0.49,0.49,0.49,0.49,2.28,2.2,2.2,1.5,6,44.33,63.45
201,1,taizhou,7,3,5473,6,6,0.37,0.27,0.13,0.13,3,3,3,3,0.81,0.81,0.81,0.81,0.64,0.64,0.64,1.26,4,28.88,42.29
2010,1,nantong,7,3,6974,11,0,0.14,0.37,0.14,0.14,3,3,3,3,0.33,0.33,0.33,0.33,1.34,1.04,0.94,0.78,6,22.34,33.54
2011,0,suzhou,3,3,4133.7,3,3,0.14,0.12,0.02,0.01,2.2,2.2,2.2,2.2,0.66,0.66,0.66,0.66,0.66,0.73,2.2,2.2,4,65.58,81.23
2020,1,wuxi,7,3,2187.78,3,3,0.24,0.21,0.06,0.06,1.33,1.33,1.33,1.33,0.81,0.81,0.81,0.81,0.49,0.49,1.29,1.29,6,22.8,44.85
2021,1,suzhou,7,3,5463.12,6,2,0.47,0.33,0.04,0.04,3.2,3.2,3.2,3.2,0.49,0.49,0.49,0.49,0.64,0.84,0.47,0.33,6,17.34,29.89
2030,0,xuzhou,3,2,17984.12,22,9,0.85,0.51,0.73,0.51,1.79,1.79,1.79,1.79,0.5,0.5,0.5,0.5,0.311,0.501,0.501,0.477,3,76.13,126.54
2031,0,xuzhou,5,2,23561.18,14,1,0.25,0.25,0.55,0.25,1.8,1.8,1.8,1.8,0.48,0.48,0.48,0.48,0.5,0.59,0.95,0.25,6,49.78,69.27
2040,1,suqian,7,3,2874.04,6,1,0.03,0.03,2.5,2.502,2.5,2.5,2.5,2.5,0.86,0.86,0.86,0.86,0.1,1.1,1.09,0.35,4,2.6,4.97
2041,1,nanjing,7,3,2679,0,0,0.86,1,0.86,0.86,2.5,2.5,2.5,2.5,0.86,0.86,0.86,0.86,0.86,1.2,0.5,0.86,4,36.07,38.89
2050,0,suzhou,3,3,2844.26,5,1,0.14,0.14,0.14,0.14,2.4,2.4,2.4,2.4,0.55,0.55,0.55,0.55,0.57,0.69,1.06,1.14,6,44.74,43.26
2051,1,nanjing,7,3,4455.08,6,6,0.04,0.04,0.35,0.27,2.79,2.79,2.79,2.79,0.87,0.87,0.87,0.87,0.6,1.38,0.29,0.29,4,53.64,40.91
2060,0,yangzhou,3,3,57245,18,1,0.82,0.39,0.81,0.39,2.4,2.4,2.4,2.4,0.37,0.37,0.37,0.37,0.705,0.501,0.717,0.879,6,9.57,37.37
