ID,PublicORResidential,city,principleActivity,ClimateZone,BuildingArea,numFloorAbove,numFloorBelow,WWR_South,WWR_North,WWR_East,WWR_West,ExWindowHTC_East,ExWindowHTC_West,ExWindowHTC_South,ExWindowHTC_North,SC_East,SC_West,SC_South,SC_North,RoofHTC,ExWallHTC,OverheadFloorHTC,FloorHTCOuter,exWinAirtightness,HeatingLoad,CoolingLoad
1007,0,zhenjiang,3,3,17253.11,3,3,0.08,0.23,0.22,0.33,2.2,2.2,2.2,2.2,0.43,0.43,0.43,0.43,0.42,0.72,2.2,2.2,3,116.83,150.32
1016,1,suzhou,7,3,3278.08,5,1,0.24,0.24,0.24,0.24,2.89,2.89,2.89,2.89,0.72,0.72,0.72,0.72,0.57,0.95,0.97,0.5,6,23.86,27.24
1017,1,nanjing,7,3,5615.17,18,6,0.022,0.525,0.443,0.625,2.11,2.11,2.11,2.11,0.625,0.625,0.625,0.625,0.28,1.12,1.26,1.4,6,13.55,2.98
1026,1,suzhou,7,3,6210.18,7,2,0.4,0.13,0.19,0.11,2.6,2.6,2.6,2.6,0.89,0.89,0.89,0.89,0.54,0.78,1.16,0.71,6,38.98,70.86
1027,1,suzhou,7,3,1050.47,6,6,0.3,0.15,0.06,0.09,2.4,2.4,2.4,2.4,0.42,0.42,0.42,0.42,0.45,0.65,0.65,,7,13.93,20.14
1036,1,taizhou,7,3,2969.52,6,6,0.02,0.02,0.36,0.33,2.4,2.4,2.4,2.4,0.4,0.4,0.4,0.4,0.61,0.63,2.16,2.65,6,11.77,6.43
1037,1,taizhou,7,3,3514.64,6,6,0.31,0.31,0.31,0.31,3.2,3.2,3.2,3.2,0.84,0.84,0.84,0.84,0.5,0.65,0.66,0.03,4,7.21,7.01
1046,0,nantong,3,3,5397.8,2,2,0.47,0.36,0.13,0.17,2.6,2.6,2.6,2.6,0.38,0.38,0.38,0.38,0.4,0.75,1.41,0.47,6,138.91,173.65
1047,0,changzhou,3,3,98840.84,33,3,0.88,0.88,0.88,0.88,1.66,1.66,1.66,1.66,0.3,0.3,0.3,0.3,0.59,1.7,0.58,1.73,4,34.93,57.34
1056,1,wuxi,7,3,9702,23,3,0.01,0.35,0.01,0.21,2.4,2.4,2.4,2.4,0.56,0.56,0.56,0.56,0.4,0.54,2,1.46,7,25.53,48.29
1057,1,changzhou,7,3,13348,2,2,0.36,0.28,0.08,0.11,3.2,3.2,3.2,3.2,0.4,0.4,0.4,0.4,0.69,0.83,1.02,0.49,8,32.82,50.43
106,1,suzhou,7,3,6057.5,2,2,0.26,0.3,0.15,0.15,2.3,2.3,2.3,2.3,0.4,0.4,0.4,0.4,0.55,0.55,1.39,0.66,6,25.59,37.88
1066,0,suzhou,3,3,32341,18,8,0.18,0.17,0.08,0.08,2.6,2.6,2.6,2.6,0.55,0.55,0.55,0.55,0.54,0.64,0.55,0.83,4,17.05,0
1067,1,taizhou,7,3,4806.96,6,6,0.23,0.23,0.23,0.23,3.4,3.4,3.4,3.4,0.78,0.78,0.78,0.78,0.62,0.57,0.75,1.3,6,3.84,4.06
107,1,nanjing,7,3,3682.67,6,6,0.04,0.04,0.35,0.28,2.79,2.79,2.79,2.79,0.87,0.87,0.87,0.87,0.6,1.38,0.32,0.32,4,55.98,40.9
1076,1,xuzhou,7,2,12351.17,31,2,0.28,0.44,0.43,0.7,2,2,2,2,0.71,0.71,0.71,0.71,0.44,0.71,0.69,0.43,6,14.05,17.78
1077,1,nantong,7,3,3220,6,0,0.08,0.08,0.25,0.25,3,3,3,3,0.45,0.45,0.45,0.45,1.3,1.04,0.62,0.8,4,23.11,35.01
1086,0,suzhou,3,3,2803.94,3,3,0.22,0.14,0.15,0.15,2.7,2.7,2.7,2.7,0.4,0.42,0.42,0.42,0.94,0.94,1.8,1.39,6,1.94,1.94
1087,1,yangzhou,7,3,3594.31,6,6,0.73,0.59,0.59,0.33,1.77,1.69,2,2.8,0.59,0.59,0.33,0.56,0.39,0.54,0.71,0.72,6,8.68,10.26
1096,0,suzhou,4,3,20689.59,2,2,0.37,0.27,0.1,0.43,3.4,3.4,3.4,3.4,0.6,0.6,0.6,0.6,0.6,0.68,1.39,1.39,2,69.93,74.09
1097,1,yangzhou,7,3,14469,19,6,0.03,0.37,0.04,0.09,2.3,2.3,2.3,2.3,0.31,0.63,0.3,0.49,0.611,0.649,1.51,0.993,6,15.65,12.73
1106,0,suzhou,6,3,3962.92,2,0,0.23,0.23,0.23,0.23,2.92,2.92,2.92,2.92,0.38,0.38,0.38,0.38,0.5,0.5,2.5,2.5,6,70.09,76.54
1107,0,yangzhou,3,3,7997,5,3,0.36,0.57,0.4,0.28,2.7,2.7,2.7,2.7,0.14,0.14,0.14,0.14,0.618,0.619,0.618,0.228,3,22.14,47.9
1116,0,wuxi,5,3,107401.39,27,7,0.26,0.28,0.37,0.37,2.6,2.6,2.6,2.6,0.39,0.39,0.39,0.39,0.34,0.36,0.77,0.37,2,130.32,152.26
1117,0,xuzhou,2,2,46397.84,16,1,0.48,0.5,0.45,0.55,1.8,1.8,1.8,1.8,0.61,0.61,0.61,0.61,0.478,0.472,0.545,0.22,3,114.23,172.42
1126,1,nanjing,7,3,8616,9,9,0.607,0.612,0.856,0.996,1.97,2.96,3.09,2.97,0.514,0.26,0.06,0.2,0.607,0.612,0.607,0.607,6,20.01,11.06
1127,1,lianyungang,7,2,2446,6,6,0.34,0.34,0.34,0.34,2.6,2.6,2.6,2.6,0.65,0.65,0.65,0.65,0.445,0.888,1.99,1.06,4,32.62,21.24
1136,1,lianyungang,7,2,2321,6,6,0.33,0.33,0.33,0.33,2.8,2.8,2.8,2.8,0.65,0.65,0.65,0.65,0.436,0.802,1.61,0.764,4,48.34,33.89
1137,1,lianyungang,7,2,4533.83,6,6,0.06,0.09,0.14,0.14,3,3,3,3,0.72,0.72,0.72,0.72,0.363,0.976,1.38,2.98,5,35.78,18.97
1146,0,nanjing,5,3,18600,7,1,0.06,0.41,0.08,0.33,2.7,2.7,2.7,2.7,0.5,0.5,0.5,0.5,0.65,1.17,0.95,0.06,5,20.89,22.41
1147,0,nantong,3,3,6104,6,6,0.63,0.66,0.69,0.56,2.4,2.4,2.4,2.4,0.4,0.4,0.4,0.4,0.54,0.8,1.14,1.23,3,89.52,128.32
1156,0,nantong,4,3,84549,15,1,0.38,0.08,0.47,0.08,2.4,2.4,2.4,2.4,0.3,0.3,0.3,0.3,0.71,0.71,,0.25,6,67.44,96.35
1157,1,suzhou,7,3,11111.63,27,1,0.08,0.03,0.34,0.25,2,2,2,2,0.89,0.89,0.4,0.32,1.63,0.45,0.44,0.7,6,38.79,46.68
116,1,wuxi,7,3,5797,9,9,0.02,2,0.4,0.5,2,2,2,2,0.5,0.4,0.5,0.5,0.38,0.54,1.01,1.03,6,14.39,34.06
1166,1,suqian,7,3,3000,2,2,0.27,0.14,0.15,0.17,2.7,2.7,2.7,2.7,0.38,0.38,0.38,0.38,0.59,0.63,1.05,2.7,6,12.14,16.85
1167,1,taizhou,7,3,1674.53,1,1,0.15,0.15,0.15,0.15,2.9,2.9,2.9,2.9,0.83,0.83,0.83,0.83,0.49,0.63,0.95,1.11,6,20.31,12.39
117,1,wuxi,7,3,1,50176,93,0.45,0.78,0.33,0.33,1.9,1.9,1.9,1.9,0.2,0.2,0.2,0.2,0.303,0.41,0.37,1.5,4,12.82,13.21
1176,0,suzhou,1,3,2230.4,3,3,0.47,0.4,0.52,0.44,1.6,1.6,1.6,1.6,0.2,0.2,0.2,0.2,0.62,0.78,0.99,0.62,3,88.65,155.88
1177,1,suzhou,7,3,1152.33,3,6,0.03,0.03,0.26,0.27,2.1,2.1,2.1,2.1,0.46,0.46,0.46,0.46,0.37,0.49,1.1,0.78,6,14.64,18.71
1186,0,nanjing,3,3,47738.14,3,3,0.11,0.77,0.43,0.51,2.5,2.5,2.5,2.5,0.56,0.56,0.56,0.56,0.77,0.43,0.77,0.43,3,41.21,54.77
1187,1,lianyungang,7,2,7489.14,6,0,0.13,0.13,0.39,0.24,3,3,3,3,0.86,0.86,0.86,0.86,0.53,0.53,1.12,0.82,4,18.7,24.8
1196,1,nantong,7,3,4161.19,6,2,0.07,0.38,0.07,0.32,2.94,2.94,2.94,2.94,0.84,0.84,0.84,0.62,0.72,0.89,1.02,0.07,6,14.33,8.19
1197,1,zhenjiang,7,3,2594,7,1,0.27,0.66,0.83,0.83,2.3,2.3,2.3,2.3,0.32,0.32,0.32,0.32,0.518,0.611,0.803,0.518,6,14.13,10.42
1206,0,wuxi,3,3,53481.12,23,3,0.26,0.21,0.49,0.32,2.6,2.6,2.6,2.6,0.3,0.3,0.3,0.3,0.56,0.68,,,4,13.79,48.95
1207,0,wuxi,3,3,26987,2,2,0.02,0.02,0.38,0.38,2.5,2.5,2.5,2.5,0.5,0.5,0.5,0.5,0.62,0.9,1.13,0.55,6,37.17,64.28
1216,0,nanjing,3,3,67312.4,26,2,0.56,0.56,0.56,0.56,1.52,1.52,1.52,1.52,0.38,0.38,0.38,0.38,0.51,0.47,0.71,0.76,1,146.45,176.71
1217,1,wuxi,7,3,14900,31,1,0.42,0.42,0.42,0.42,2.3,2.3,2.3,2.3,0.6,0.6,0.6,0.6,0.51,0.62,0.68,0.68,6,18.23,17.5
1226,1,taizhou,7,3,6534.2,6,6,0.09,0.31,0.09,0.09,3.2,3.2,3.2,3.2,0.84,0.3,0.84,0.84,0.63,1.02,1.33,1.24,6,10.58,10.58
1227,1,taizhou,7,3,19419.38,2,2,0.32,0.13,0.03,0.03,2.66,2.66,2.66,2.66,0.89,0.89,0.89,0.89,0.33,0.64,0.64,0.46,6,25.1,40.04
1236,0,nanjing,3,3,8093.97,5,0,0.34,0.44,0.42,0.37,2.3,2.35,2.3,2.3,0.3,0.3,0.3,0.3,0.705,0.775,0.705,0.21,4,38.68,58.42
1237,1,nantong,7,3,3482.22,5,0,0.09,0.4,0.09,0.09,3.2,2.4,3.2,3.2,0.35,0.35,0.35,0.35,1.67,0.91,0.67,0.09,6,23.69,34.86
1246,1,xuzhou,7,2,12868.12,19,1,0.12,0.46,0.26,0.26,2.2,2.2,2.2,2.2,0.33,0.33,0.33,0.33,0.34,0.49,0.61,0.33,6,12.86,14.47
1247,0,wuxi,3,3,15007.37,2,8,0.6,0.32,0.03,0.08,2.2,2.2,2.2,2.2,0.63,0.63,0.63,0.63,0.63,0.63,2.2,2.2,4,32.71,31.46
1256,1,wuxi,7,3,11719,12,2,0.04,0.22,0.04,0.15,2.7,2.7,2.7,2.7,0.04,0.04,0.04,0.04,0.566,0.837,1.13,2.98,4,11.66,10.16
1257,1,changzhou,7,3,1569,3,3,0.31,0.25,0.03,0.03,3.2,3.2,3.2,3.2,0.03,0.03,0.03,0.03,0.49,0.41,0.37,0.49,6,22.29,33.9
126,1,suzhou,7,3,3378.89,2,2,0.32,0.32,0.12,0.12,2.4,2.4,2.4,2.4,0.72,0.72,0.72,0.72,0.6,0.97,0.97,0.32,6,19.11,23.41
1266,1,xuzhou,7,2,4080,6,2,0.09,0.09,0.31,0.28,2.23,2.23,2.23,2.23,0.84,0.84,0.84,0.84,0.524,0.925,1.62,0.09,6,11.14,7.83
1267,1,suzhou,7,3,1426.32,2,0,0.48,0.48,0.48,0.48,2.08,2.08,2.08,2.08,0.3,0.3,0.3,0.3,0.48,0.37,0.37,0.37,6,17.62,31.78
127,0,lianyungang,3,2,8700,6,6,0.06,0.26,0.19,0.47,2.5,2.5,2.5,2.5,0.5,0.5,0.5,0.5,0.877,1.01,1.29,1.69,4,67.45,67.56
1276,1,xuzhou,7,2,10368.68,18,1,0.24,0.425,0.06,0.06,2.5,2.5,2.5,2.5,0.36,0.36,0.36,0.36,0.452,0.745,0.899,0.24,6,15.45,9.86
1277,1,xuzhou,6,2,2921.19,7,7,0.02,0.02,0.29,0.2,2.6,2.6,2.6,2.6,0.83,0.83,0.83,0.83,0.383,0.735,0.881,0.02,6,20.02,19.7
1286,1,taizhou,7,3,3040,6,6,0.8,0.29,0.46,0.46,2.7,2.7,2.7,2.7,0.37,0.37,0.37,0.37,0.709,1.39,0.579,0.514,6,18.16,11.22
1287,0,changzhou,3,3,6688.48,0,0,0.38,0.43,0.27,0.47,2.6,2.6,2.6,2.6,0.5,0.5,0.5,0.5,0.563,0.917,0.858,0.563,4,19.86,43.3
1296,0,lianyungang,3,2,34457.94,22,2,0.25,0.25,0.53,0.73,2.3,2.3,2.3,2.3,0.5,0.5,0.5,0.5,0.14,0.4,0.41,0.41,3,72.22,84.04
1297,0,nantong,1,3,20986.05,6,6,0.3,0.272,2.602,0.43,2.602,2.602,2.602,2.602,0.436,0.436,0.436,0.436,0.9,1.1,0.74,0.74,3,23.54,45.32
1306,1,suqian,7,3,1728.8,3,1,0.09,0.09,3,3,3,3,3,3,0.86,0.86,0.86,0.86,0.6,1.1,0.89,0.89,6,9.33,9.01
1307,0,suzhou,4,3,4056.47,2,1,0.4,0.33,0.2,0.3,2.7,2.7,2.7,2.7,0.5,0.5,0.5,0.5,0.47,0.47,1.05,0.32,6,29.91,51.94
1316,0,yancheng,3,3,9973,6,6,0.33,0.33,0.33,0.33,0,0,0,0,0.3,0.3,0.3,0.3,0.31,2,2,0.7,4,67.81,0
1317,0,suzhou,3,3,62333,3,3,0.31,0.54,0.58,0.51,2.4,2.4,2.4,2.4,0.4,0.4,0.4,0.4,0.68,0.93,0.75,0.449,4,94.48,123.76
1326,0,yancheng,3,3,6536,3,3,0.28,0.28,0.04,0.06,2.3,2.3,2.3,2.3,0.5,0.5,0.5,0.5,0.62,0.32,2.3,2.3,6,87.77,94.37
1327,1,xuzhou,7,2,10057.96,23,1,0.01,0.04,0.31,0.28,2.7,2.7,2.7,2.7,0.5,0.5,0.5,0.5,0.47,0.87,0.91,0.01,6,17.55,22.63
1336,0,yancheng,3,3,12223,3,3,0.06,0.3,0.19,0.17,2.91,2.91,2.91,2.91,0.06,0.06,0.06,0.06,0.57,0.75,1.2,0.56,6,80.3,90.93
1337,0,xuzhou,3,2,15522.17,9,1,0.11,0.2,0.17,0.41,2.02,2.15,1.88,2.05,0.4,0.4,0.4,0.4,0.36,0.48,0.55,0.33,4,87.36,76.54
1346,1,suqian,7,3,5828.04,2,2,0.4,0.27,0.14,0.14,3,3,3,3,0.14,0.14,0.14,0.14,0.65,1.53,0.64,1.57,6,25.94,40.18
1347,0,suzhou,3,3,55405,1,1,0.67,0.64,0.37,0.51,2.7,2.7,2.7,2.7,0.33,0.33,0.33,0.33,0.6,0.8,1.63,1.32,4,65.78,0
1356,0,changzhou,3,3,93633,4,2,0.3,0.4,0.14,0.45,2.2,2.34,2.33,2.31,0.49,0.49,0.49,0.49,0.45,0.51,1.99,2.2,3,117.87,167.59
1357,1,taizhou,7,3,4820.58,6,6,0.27,0.3,0.33,0.03,2.7,2.7,2.7,2.7,0.45,0.53,0.52,0.57,0.58,0.462,0.621,0.736,6,13.71,11.29
136,0,changzhou,3,3,3333,3,3,0.72,0.41,0.49,0.63,2.41,2.43,2.42,2.41,0.54,0.54,0.54,0.54,0.6,0.62,0.85,0.11,3,142.51,113.37
1366,0,yangzhou,3,3,9361.06,6,6,0.12,0.36,0.08,0.28,3.4,2.7,3.4,2.7,0.37,0.37,0.37,0.37,0.6,0.672,1.02,0.298,6,71.72,65.12
1367,0,nanjing,3,3,27265,8,8,0.222,0.25,0.272,0.37,0,0,0,0,0.222,0.222,0.222,0.222,0.375,0.375,0.73,1.2,6,54.49,43.38
137,1,suqian,7,3,4216.45,1,1,0.02,0.023,3,0.86,3,3,3,3,0.86,0.86,0.86,0.86,0.81,1.1,0.81,0.81,4,7.06,6.31
1376,0,xuzhou,5,2,118112,19,9,0.15,0.46,0.19,0.31,2.4,2.4,2.4,2.4,0.34,0.34,0.34,0.34,0.46,0.57,0.49,0.63,3,35.62,50.64
1377,0,suzhou,3,3,100145.78,28,1,0.5,0.48,0.33,0.3,2.3,2.3,2.3,2.3,0.32,0.32,0.32,0.32,0.47,0.55,0.47,0.48,3,104.21,119
1386,0,yancheng,2,3,60126,6,6,0.56,0.08,0.65,0.53,1.6,1.6,1.6,1.6,0.45,0.45,0.45,0.45,0.53,0.65,1.7,,3,39.01,64.28
1387,0,taizhou,3,3,5930.18,4,4,0.28,0.52,0.27,0.23,2.3,2.24,2.3,2.3,0.47,0.44,0.46,0.48,0.521,1.16,1.16,0.514,5,25.77,44.61
1396,1,xuzhou,7,2,14768.33,33,3,0.21,0.35,0.13,0.21,2.6,2.6,2.6,2.6,0.6,0.6,0.6,0.6,0.51,0.64,0.97,0.73,7,20.51,18.79
1397,1,suzhou,7,3,512.03,6,6,0.06,0.06,0.06,0.06,2.5,2.5,2.5,2.5,0.63,0.73,0.63,0.63,0.39,0.48,0.71,0.48,4,10.51,10.51
1406,0,suzhou,3,3,14027.59,9,1,0.8,0.74,0.56,0.56,2.4,2.4,2.4,2.4,0.55,0.55,0.55,0.55,2.25,0.67,0.61,0.73,1,74.5,104.22
1407,1,nanjing,7,3,14224,19,9,2.97,1.5,0.514,0.298,2.5,2.5,2.5,2.5,0.86,0.86,0.86,0.86,0.763,0.767,0.763,0.514,6,29.21,34.12
1416,0,nanjing,3,3,54676.66,0,0,0.42,0.43,0.43,0.41,2.5,2.5,2.5,2.5,0.38,0.38,0.38,0.38,0.41,0.38,1.62,1.68,4,4.12,4.12
1417,0,nanjing,3,3,38979.8,2,2,0.02,0.02,0.02,0.02,2.46,2.46,2.46,2.46,0.89,0.89,0.89,0.89,2.71,2.5,2.59,0.53,3,51.69,50.96
1426,0,suzhou,3,3,41940.57,2,2,0.57,0.53,0.55,0.54,2.4,2.4,2.4,2.4,0.33,0.33,0.33,0.33,1.07,0.42,2.31,,3,72.9,89.91
1427,0,xuzhou,1,2,38180.38,19,1,0.13,0.25,0.05,0.05,2.6,2.6,2.6,2.6,0.71,0.71,0.71,0.71,0.52,0.487,0.487,0.22,6,2.8,70.25
1436,1,taizhou,7,3,21753,34,4,0.07,0.45,0.07,0.07,3.08,3.05,3.08,3.08,0.47,0.56,0.47,0.47,0.38,0.577,1.89,1.28,6,19.88,11.19
1437,1,huaian,7,3,23118.72,6,6,0.43,0.25,0.07,0.08,3,3,3,3,0.34,0.34,0.34,0.34,0.72,0.62,0.43,,4,42.7,59.05
1446,0,wuxi,3,3,23848,8,8,0.32,0.32,0.32,0.32,2.6,2.6,2.6,2.6,0.36,0.36,0.36,0.36,0.29,0.98,0.14,0.81,2,67.1,87.2
1447,1,huaian,7,3,4868.3,5,5,0.12,0.12,0.23,0.23,2.8,2.8,2.8,2.8,0.86,0.86,0.86,0.86,0.52,0.92,0.89,1.49,6,21.36,40.07
1456,1,wuxi,7,3,19995.06,33,1,0.03,0.39,0.01,0.25,2.6,2.6,2.6,2.6,0.83,0.83,0.83,0.83,0.37,0.78,0.78,1.28,6,11.93,28.33
1457,0,huaian,5,3,24387,13,1,0.37,2.41,0.61,0.76,2.41,2.41,2.41,2.41,0.61,0.61,0.61,0.61,0.59,0.95,0.95,1.37,3,74.68,88.08
146,0,wuxi,3,3,78792,8,8,0.16,0.22,0.34,0.53,2.6,2.6,2.6,2.6,0.25,0.25,0.25,0.25,0.655,1.03,0.598,,3,0.7,36.41
1466,1,suzhou,7,3,1244,2,2,0.28,0.2,0.12,0.13,2.6,2.6,2.6,2.6,0.57,0.57,0.57,0.57,0.47,0.47,0.56,,5,11.79,18.71
1467,1,huaian,7,3,3493.6,2,2,0.3,0.25,0.08,0.08,3,3,3,3,0.08,0.08,0.08,0.08,0.61,1.63,1.12,0.89,4,24.9,37.84
147,0,suzhou,3,3,24535.51,3,3,0.2,0.17,0.5,0.22,1.13,1.13,1.13,1.13,0.4,0.4,0.4,0.4,0.67,0.69,2.37,1.13,5,66.25,80.39
1476,0,suzhou,4,3,1457.95,2,2,0.4,0.37,0.4,0.5,2.7,2.7,2.7,2.7,0.47,0.47,0.47,0.47,2,2,0.43,0.32,1,23.39,42.56
1477,0,taizhou,3,3,5955.7,1,1,0.14,0.19,0.35,0.32,2.6,2.6,2.6,2.6,0.48,0.48,0.48,0.48,0.47,0.47,0.93,1.47,6,7.08,5.13
1486,1,lianyungang,7,2,2490,6,6,0.06,0.32,0.11,0.2,3,3,3,3,0.89,0.89,0.89,0.89,0.405,0.481,0.658,1.07,5,44.58,23.89
1487,0,wuxi,3,3,31900,12,2,0.14,0.14,0.34,0.19,2.4,2.4,2.4,2.4,0.24,0.24,0.24,0.24,0.3,0.26,1.36,1.05,1,19.54,19.54
1496,1,suzhou,7,3,7037.29,12,2,0.21,0.21,0.21,0.21,3.2,3.2,3.2,3.2,0.47,0.47,0.47,0.47,0.34,0.84,1.29,,6,14.44,22.38
1497,0,huaian,3,3,60929,5,3,0.43,0.35,0.45,0.34,2.3,2.3,2.3,2.3,0.51,0.51,0.51,0.51,0.46,2.19,0.45,2.25,3,110.31,146.8
1506,1,taizhou,7,3,814,6,6,0.29,0.29,0.29,0.29,3.2,3.2,3.2,3.2,0.72,0.72,0.72,0.72,0.45,0.45,0.72,0.04,6,35.28,27.79
1507,0,suzhou,1,3,39003.79,2,2,0.9,0.88,0.33,0.66,2.3,2.3,2.3,2.3,0.46,0.46,0.46,0.46,0.52,0.53,0.48,,4,87.84,126.83
1516,1,suzhou,7,3,408.57,6,6,0.06,0.32,0.02,0.18,3.2,3.2,3.2,3.2,0.32,0.84,0.84,0.84,0.43,0.69,2,0.06,4,13.05,13.05
1517,1,xuzhou,7,2,14188.98,18,8,0.08,0.3,0.12,0.24,2.4,2.4,2.4,2.4,0.4,0.4,0.4,0.4,0.72,0.57,0.7,0.08,6,21.54,0
1526,1,xuzhou,7,2,6855.71,18,1,0.08,0.34,0.07,0.18,2.3,2.3,2.3,2.3,0.83,0.75,0.83,0.83,0.46,0.44,0.51,0.51,6,15.09,22.34
1527,0,suzhou,3,3,44788,3,3,0.18,0.21,0.18,0.18,3.4,3.4,3.4,3.4,0.43,0.43,0.43,0.43,0.633,0.926,2.2,2.2,1,74.06,63.45
1536,1,suqian,7,3,3801.02,6,7,0.06,0.05,3,3.003,3,3,3,3,0.86,0.86,0.86,0.86,0.06,1.1,1.61,0.35,6,4.52,6.96
1537,1,taizhou,7,3,9686.49,6,6,0.07,0.33,0.13,0.29,1.93,1.93,1.93,1.93,0.21,0.71,0.26,0.25,0.779,0.533,0.365,0.779,6,5.62,7.34
1546,1,zhenjiang,7,3,1576,2,2,0.36,3.3,0.27,3.3,3.3,3.3,3.3,3.3,0.27,0.83,0.83,0.83,0.8,0.8,0.46,0.8,6,28.17,46.29
1547,1,wuxi,7,3,802,2,2,0.19,0.18,0.08,0.05,2.6,2.6,2.6,2.6,0.81,0.81,0.81,0.81,1,1.5,1.5,0.5,6,10.8,15.44
1556,0,wuxi,6,3,3026.8,3,3,0.59,0.72,0.16,0.66,2.8,2.8,2.8,2.8,0.48,0.48,0.48,0.48,1.66,2.2,0.607,0.356,6,11.75,55.86
1557,0,nantong,3,3,24942,3,1,0.17,0.34,0.07,0.59,1.9,1.9,1.9,1.9,0.37,0.37,0.37,0.37,0.45,0.72,0.72,0.7,3,82.65,124.78
156,0,yancheng,6,3,5609,3,3,0.47,0.26,0.3,0.16,2.5,2.5,2.5,2.5,0.49,0.49,0.49,0.49,0.48,0.74,2.5,2.5,6,86.73,103.4
1566,0,nantong,2,3,100219,17,3,0.13,0.36,0.28,0.31,1.7,1.7,1.7,1.7,0.31,0.31,0.31,0.31,0.54,0.75,0.75,1.36,3,78.21,126.26
1567,0,suzhou,3,3,29687.81,28,8,0.4,0.25,0.4,0.22,2.5,2.5,2.5,2.5,0.41,0.41,0.41,0.41,0.62,0.78,0.99,0.62,3,80.53,124.35
157,0,suzhou,1,3,102645,0,0,0,0,0,0,2.2,2.2,2.2,2.2,0,0,0,0,,,,,0,3.1,0
1576,1,lianyungang,7,2,1483.19,310,0,0.12,0.12,0.27,0.27,3.07,3.07,3.07,3.07,0.42,0.42,0.42,0.42,0.39,1.12,1.38,1.84,7,39,24.22
1577,1,nanjing,7,3,16855.12,18,2,0.022,0.525,0.443,0.625,0,0,0,0,0.625,0.625,0.625,0.625,0.28,1.12,1.26,1.4,6,15.27,2.14
1586,1,wuxi,7,3,748,2,2,0.04,0.04,0.2,0.2,3.4,3.4,3.4,3.4,0.69,0.69,0.69,0.69,0.826,0.921,1.93,0.514,4,19.47,14.75
1587,0,xuzhou,3,2,164037.32,3,3,0.11,0.11,0.2,0.2,2.3,2.3,2.3,2.3,0.64,0.64,0.64,0.64,0.41,0.37,0.47,0.53,6,140.2,175.24
1596,1,suzhou,7,3,471.11,3,3,0.28,0.17,0.09,0.03,3.2,3,3.2,3.2,0.83,0.83,0.83,0.83,0.46,0.73,1.36,1.41,6,15.47,22.04
1597,0,zhenjiang,3,3,5561.06,3,0,0.22,0.17,0.31,0.14,2.402,2.402,2.402,2.402,0.33,0.33,0.33,0.33,0.026,0.9,1.201,0.22,3,82.4,87.1
16,0,xuzhou,3,2,46565.45,17,1,0.46,0.51,0.46,0.49,1.8,1.8,1.8,1.8,0.46,0.46,0.46,0.46,2,0.4,0.4,0.39,4,11.59,46.46
1606,0,nanjing,3,3,19000,0,0,0.02,0.17,0.1,0.1,2.6,2.6,2.6,2.6,0.4,0.4,0.4,0.4,0.57,0.703,2.98,1.41,4,24.43,46.15
1607,1,huaian,7,3,5402,2,2,0.33,0.22,0.17,0.17,3,3,3,3,0.81,0.81,0.81,0.81,0.59,1.7,0.62,1.61,4,15.36,25.34
1616,1,suzhou,7,3,2543.09,6,6,0.02,0.35,0.02,0.02,2.5,2.5,2.5,2.5,0.67,0.4,0.67,0.67,0.44,0.7,1.15,0.02,4,19.42,6.6
1617,1,suzhou,7,3,610.78,2,2,0.19,0.17,0.06,0.05,2.6,2.6,2.6,2.6,0.57,0.57,0.57,0.57,0.47,0.47,0.47,0.56,5,29.54,40.27
1626,0,nantong,3,3,26911,25,5,0.45,0.49,0.59,0.47,1.9,1.9,1.9,1.9,0.59,0.59,0.59,0.59,0.56,0.8,0.8,1.2,3,89.05,117.43
1627,0,nantong,3,3,51074.6,15,1,0.42,0.49,0.43,0.52,1.6,1.6,1.6,1.6,0.3,0.3,0.3,0.3,0.51,0.59,0.65,0.42,3,10.8,10.8
1636,0,nantong,3,3,7010.3,3,3,0.94,0.8,0.94,0.8,0,0,0,0,0.77,0.77,0.77,0.77,0.55,0.58,0.55,0.58,3,45.83,174.39
1637,1,suzhou,6,3,3333.7,5,2,0.17,0.28,0.23,0.23,2.86,2.26,2.78,2.78,0.56,0.5,0.46,0.46,0.54,0.67,1.65,0.76,3,39.64,55.22
1646,0,suzhou,3,3,12057.64,6,6,0.25,0.3,0.31,0.27,2.7,2.7,2.7,2.7,0.46,0.46,0.46,0.46,0.68,0.82,0.94,0.96,3,77.83,90.91
1647,1,taizhou,7,3,13267,28,8,0.1,0.4,0.1,0.26,3.15,3.15,3.15,3.15,0.46,0.5,0.4,0.64,0.551,0.612,1.65,1.23,6,17.66,5.1
1656,1,suzhou,7,3,1019.03,6,6,0.48,0.53,0.17,0.17,2.7,2.7,2.7,2.7,0.4,0.3,0.4,0.4,0.51,0.8,1.09,0.48,7,8.41,9.09
1657,0,suzhou,1,3,20814.9,1,1,0.2,0.09,0.2,0.3,2.6,2.6,2.6,2.6,0.42,0.42,0.42,0.42,0.4,0.4,0.7,0.7,4,1.11,0
166,0,zhenjiang,3,3,5561.06,3,0,0.22,0.17,0.31,0.14,2.402,2.402,2.402,2.402,0.33,0.33,0.33,0.33,0.026,1.2,1.201,0.22,3,82.4,87.1
1666,1,taizhou,7,3,15589,6,6,0.31,0.628,0.996,0.478,3.3,3.3,3.3,3.3,0.202,0.61,0.73,0.61,0.628,0.996,0.478,2.13,6,18,10.83
